Player,Team,League,Age,Passport country,Foot,Minutes played,Tier,SQS Rank,Lamberts Index,Status,Mkt Val (€),Model Val (€),Val Ratio,vs Hradec,Goals/90,Assists/90,xA/90,Prog Pass/90,Key Pass/90,BenhamScore,RedBullScore
A. Hron,Slovan Liberec U17,Czech U17,15.0,Czech Republic,unknown,35,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
Adam Beran,FK Mladá Boleslav U17,Czech U17,15.0,Czech Republic,,50,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
D. Střihavka,Slovan Liberec U17,Czech U17,15.0,Czech Republic,unknown,814,HIGH VALUE,54.91,26.78,CLEAR UPGRADE,0.0,0.0,,1.2,0.33,0.11,0.06,5.75,0.33,69.49,98.73
F. Matěj,Slovan Liberec U17,Czech U17,15.0,Czech Republic,,86,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
M. Korbel,Dukla Praha U17,Czech U17,15.0,Czech Republic,unknown,1392,FAIR VALUE,33.32,5.19,DEPTH,0.0,0.0,,-20.4,0.19,0.0,0.05,4.14,0.26,45.17,88.14
Š. Šimon,Pardubice U17,Czech U17,15.0,Czech Republic,,785,ELITE VALUE,66.8,38.67,CLEAR UPGRADE,0.0,0.0,,13.1,0.11,0.11,0.17,5.96,0.34,78.14,79.64
A. Tichánek,Vysočina Jihlava U19,Czech U19,16.0,Czech Republic,unknown,882,HIGH VALUE,56.1,27.97,CLEAR UPGRADE,0.0,0.0,,2.4,0.1,0.31,0.21,5.82,0.31,91.14,91.85
A. Van Geet,Slovan Liberec U19,Czech U19,16.0,Czech Republic,unknown,876,VALUE,43.51,15.38,DEPTH,0.0,0.0,,-10.2,0.1,0.0,0.03,5.03,0.1,11.56,89.59
D. Kolar,České Budějovice U17,Czech U17,16.0,Czech Republic,unknown,795,ELITE VALUE,95.06,66.93,CLEAR UPGRADE,0.0,0.0,,41.4,0.11,0.23,0.11,8.83,0.45,92.62,97.05
F. Rada,Viktoria Plzeň U17,Czech U17,16.0,Czech Republic,unknown,719,ELITE VALUE,94.75,66.62,CLEAR UPGRADE,0.0,0.0,,41.0,0.13,0.25,0.16,7.89,0.63,98.58,99.58
J. Kosar,FC Hradec Králové U17,Czech U17,16.0,Czech Republic,unknown,74,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
J. Zadrobílek,Sparta Praha U19,Czech U17,16.0,Czech Republic,,1063,ELITE VALUE,82.0,53.87,CLEAR UPGRADE,0.0,0.0,,28.3,0.93,0.0,0.13,7.87,0.51,90.99,99.88
J. Zadrobílek,Sparta Praha U19,Czech U19,16.0,Czech Republic,,138,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
