Player,Team,League,Age,Passport country,Foot,Minutes played,Tier,SQS Rank,Lamberts Index,Status,Mkt Val (€),Model Val (€),Val Ratio,vs Hradec,Goals/90,Assists/90,xA/90,Prog Pass/90,Key Pass/90,BenhamScore,RedBullScore
K. Klíma,Sparta Praha U17,Czech U17,16.0,Czech Republic,unknown,309,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
L. Forejt,Sparta Praha U17,Czech U17,16.0,Czech Republic,unknown,1000,ELITE VALUE,59.16,31.03,CLEAR UPGRADE,0.0,0.0,,5.5,0.09,0.09,0.01,8.37,0.18,41.91,89.12
L. Havrlík,Sparta Praha U17,Czech U17,16.0,Czech Republic,unknown,424,ELITE VALUE,80.09,51.96,CLEAR UPGRADE,0.0,0.0,,26.4,0.0,0.0,0.29,7.85,0.42,92.25,99.43
M. Jakub,Sigma Olomouc U17,Czech U17,16.0,Czech Republic,,1578,ELITE VALUE,67.66,39.53,CLEAR UPGRADE,0.0,0.0,,14.0,0.11,0.06,0.09,6.5,0.34,69.58,88.11
M. Pesek,České Budějovice U17,Czech U17,16.0,Czech Republic,unknown,1448,ELITE VALUE,75.25,47.12,CLEAR UPGRADE,0.0,0.0,,21.5,0.12,0.19,0.11,5.41,0.5,84.46,98.52
S. Mladen,Dukla Praha U17,Czech U17,16.0,Czech Republic,unknown,994,ELITE VALUE,95.44,67.31,CLEAR UPGRADE,0.0,0.0,,41.7,0.54,0.18,0.33,6.97,0.81,99.16,99.76
S. Pavlik,České Budějovice U17,Czech U17,16.0,Czech Republic,unknown,1587,ELITE VALUE,96.14,68.01,CLEAR UPGRADE,0.0,0.0,,42.4,0.45,0.17,0.3,6.98,0.74,99.57,99.06
Š. Sedlák,FC Vysočina Jihlava U17,Czech U17,16.0,Czech Republic,unknown,907,ELITE VALUE,96.95,68.82,CLEAR UPGRADE,0.0,0.0,,43.2,0.2,0.2,0.16,7.94,0.79,97.22,99.97
Š. Sedlák,Vysočina Jihlava U19,Czech U19,16.0,Czech Republic,unknown,615,ELITE VALUE,73.47,45.34,CLEAR UPGRADE,0.0,0.0,,19.8,0.15,0.15,0.17,5.41,0.59,93.34,97.79
A. Hink,Vysočina Jihlava U19,Czech U17,17.0,Czech Republic,unknown,1208,HIGH VALUE,51.96,23.83,ROTATIONAL / COVER,0.0,0.0,,-1.7,0.6,0.0,0.02,6.78,0.07,38.09,89.83
B. Marek,Slovan Liberec U19,Czech U17,17.0,Czech Republic,,957,ELITE VALUE,75.64,47.51,CLEAR UPGRADE,0.0,0.0,,21.9,0.09,0.28,0.07,4.33,0.56,74.25,99.33
C. Bolorbold,Sparta Praha U19,Czech U17,17.0,"Mongolia, Czech Republic",,226,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
C. Bolorbold,Sparta Praha U19,Czech U19,17.0,"Mongolia, Czech Republic",,1513,ELITE VALUE,88.11,59.98,CLEAR UPGRADE,0.0,0.0,,34.4,0.06,0.18,0.23,5.83,0.54,89.44,95.84
C. David,Baník Ostrava U17,Czech U17,17.0,Czech Republic,unknown,621,ELITE VALUE,63.29,35.16,CLEAR UPGRADE,0.0,0.0,,9.6,0.14,0.14,0.09,6.81,0.14,67.43,97.11
D. Kolar,České Budějovice U17,Czech U19,17.0,Czech Republic,unknown,560,HIGH VALUE,48.79,20.66,ROTATIONAL / COVER,0.0,0.0,,-4.9,0.0,0.16,0.14,5.3,0.32,64.62,60.76
D. Ledvinka,Dukla Praha U19,Czech U19,17.0,Czech Republic,unknown,528,OVERPRICED,15.19,-12.94,DEPTH,0.0,0.0,,-38.5,0.0,0.0,0.08,4.09,0.17,37.21,99.57
F. Juranka,Mladá Boleslav U19,Czech U19,17.0,Czech Republic,unknown,718,OVERPRICED,0.64,-27.49,DEPTH,0.0,0.0,,-53.1,0.0,0.0,0.0,3.38,0.0,3.31,73.34
F. Rajcan,,Czech U19,17.0,Slovakia,unknown,742,ELITE VALUE,96.34,68.21,CLEAR UPGRADE,0.0,0.0,,42.6,0.24,0.24,0.07,8.37,0.49,81.73,99.69
H. Sochurek,Sparta Praha U19,Czech II,17.0,Czech Republic,unknown,313,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
H. Sochurek,Sparta Praha U19,Czech U19,17.0,Czech Republic,unknown,547,OVERPRICED,15.08,-13.05,DEPTH,0.0,0.0,,-38.6,0.0,0.0,0.02,3.46,0.0,6.49,99.93
H. Sochurek,Sparta Praha U19,Czech,17.0,Czech Republic,unknown,539,ELITE VALUE,91.79,63.66,CLEAR UPGRADE,0.0,0.0,,38.1,0.0,0.33,0.11,5.01,0.83,73.64,100.0
J. Base,FC Hradec Králové U17,Czech U17,17.0,Czech Republic,unknown,1277,OVERPRICED,21.78,-6.35,DEPTH,0.0,0.0,,-31.9,0.35,0.0,0.02,4.79,0.21,36.01,99.79
J. Cahlík,Baník Ostrava U17,Czech U19,17.0,Czech Republic,unknown,942,ELITE VALUE,58.23,30.1,CLEAR UPGRADE,0.0,0.0,,4.5,0.29,0.0,0.11,5.64,0.38,71.63,92.56
J. Kuneš,Slavia Praha U17,Czech U19,17.0,Czech Republic,unknown,679,ELITE VALUE,81.01,52.88,CLEAR UPGRADE,0.0,0.0,,27.3,0.0,0.27,0.08,6.76,0.4,66.92,54.89
J. Kupera,Slavia Praha U17,Czech U17,17.0,Czech Republic,,1318,ELITE VALUE,58.69,30.56,CLEAR UPGRADE,0.0,0.0,,5.0,0.07,0.07,0.03,7.92,0.14,47.04,78.96
K. Adam,Sigma Olomouc U17,Czech U17,17.0,Czech Republic,,146,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
K. Radovan,České Budějovice U17,Czech U17,17.0,Czech Republic,,119,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
M. Matyáš,Sigma Olomouc U17,Czech U17,17.0,Czech Republic,,991,ELITE VALUE,80.45,52.32,CLEAR UPGRADE,0.0,0.0,,26.8,0.36,0.18,0.18,4.0,0.45,88.33,91.22
M. Uhlík,Mladá Boleslav U19,Czech U19,17.0,Czech Republic,unknown,223,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
O. Frolík,Slavia Praha U19,Czech U19,17.0,Czech Republic,unknown,1356,ELITE VALUE,92.5,64.37,CLEAR UPGRADE,0.0,0.0,,38.8,0.07,0.53,0.36,6.7,0.73,97.79,99.39
P. Lubor,Slovan Liberec U19,Czech U17,17.0,Czech Republic,,1010,ELITE VALUE,93.99,65.86,CLEAR UPGRADE,0.0,0.0,,40.3,0.27,0.27,0.1,8.82,0.89,96.62,97.73
R. Filip,Baník Ostrava U19,Czech U19,17.0,Slovakia,unknown,742,ELITE VALUE,96.34,68.21,CLEAR UPGRADE,0.0,0.0,,42.6,0.24,0.24,0.07,8.37,0.49,81.73,99.69
R. Kastyl,Sigma Olomouc U19,Czech U19,17.0,Czech Republic,,481,ELITE VALUE,85.26,57.13,CLEAR UPGRADE,0.0,0.0,,31.6,0.19,0.0,0.17,5.8,0.56,86.58,98.49
R. Kaštyl,Sigma Olomouc U19,Czech U19,17.0,Czech Republic,unknown,566,ELITE VALUE,80.36,52.23,CLEAR UPGRADE,0.0,0.0,,26.7,0.16,0.0,0.15,5.57,0.48,80.43,98.2
T. Barnas,Dukla Praha U19,Czech U19,17.0,Slovakia,unknown,673,OVERPRICED,20.29,-7.84,DEPTH,0.0,0.0,,-33.4,0.13,0.0,0.03,4.95,0.0,10.08,64.78
T. Hellebrand,Zlín U19,Czech U19,17.0,Czech Republic,unknown,95,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
T. Pernica,Slovácko Under 17,Czech U17,17.0,Czech Republic,,48,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
V. Martin,Dukla Praha U17,Czech U17,17.0,Czech Republic,,688,FAIR VALUE,31.72,3.59,DEPTH,0.0,0.0,,-22.0,0.0,0.13,0.16,6.28,0.13,60.83,56.04
A. Petic,Podbrezová,Slovakia,18.0,Slovakia,unknown,7,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
A. Rajnoha,Slavia Praha U19,Czech II,18.0,Slovakia,unknown,725,FAIR VALUE,30.22,2.09,DEPTH,0.0,0.0,,-23.5,0.0,0.12,0.15,4.59,0.12,46.05,73.44
A. Sivicek,Dukla Banská Bystrica U19,Slovakia II,18.0,Slovakia,unknown,701,OVERPRICED,3.99,-24.14,DEPTH,0.0,0.0,,-49.7,0.0,0.0,0.0,3.21,0.0,0.24,96.14
D. Šobáň,Pardubice U19,Czech U19,18.0,Czech Republic,unknown,432,HIGH VALUE,56.72,28.59,CLEAR UPGRADE,0.0,0.0,,3.0,0.42,0.21,0.05,5.63,0.21,51.14,64.21
F. Kasana,Trenčín,Slovakia,18.0,Slovakia,unknown,349,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
I. Hryhoruk,České Budějovice U19,Czech U19,18.0,Czech Republic,unknown,524,ELITE VALUE,98.23,70.1,CLEAR UPGRADE,0.0,0.0,,44.5,0.17,0.86,0.29,9.27,1.2,99.58,99.94
J. Abrhám,Viktoria Plzeň U19,Czech U19,18.0,Czech Republic,,732,ELITE VALUE,69.69,41.56,CLEAR UPGRADE,0.0,0.0,,16.0,0.12,0.12,0.11,6.15,0.25,82.02,65.28
J. Ficek,Vysočina Jihlava U19,Czech U19,18.0,Czech Republic,unknown,278,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
J. Graclík,Baník Ostrava U19,Czech U19,18.0,Czech Republic,unknown,979,ELITE VALUE,82.69,54.56,CLEAR UPGRADE,0.0,0.0,,29.0,0.09,0.0,0.17,8.09,0.28,76.21,95.48
J. Nedbal,Dukla Praha U19,Czech U19,18.0,Czech Republic,unknown,1152,FAIR VALUE,32.09,3.96,DEPTH,0.0,0.0,,-21.6,0.31,0.0,0.04,3.98,0.47,52.6,92.46
J. Zima,Pardubice U19,Czech U19,18.0,Czech Republic,unknown,788,ELITE VALUE,60.52,32.39,CLEAR UPGRADE,0.0,0.0,,6.8,0.46,0.0,0.06,7.54,0.11,54.82,99.61
K. Belžík,Slavia Praha II,Czech II,18.0,Czech Republic,left,1350,ELITE VALUE,71.3,43.17,CLEAR UPGRADE,0.0,0.0,,17.6,0.07,0.07,0.19,6.27,0.2,72.68,95.9
K. Stručka,Žilina U19,Slovakia II,18.0,Slovakia,left,214,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
M. Bačík,Ružomberok,Slovakia,18.0,Slovakia,right,1104,OVERPRICED,19.4,-8.73,DEPTH,0.0,0.0,,-34.3,0.08,0.0,0.06,2.69,0.41,41.61,92.03
M. Jenčuš,DAC,Slovakia,18.0,Slovakia,unknown,39,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
M. Mateáš,Slovan Bratislava,Slovakia II,18.0,Slovakia,unknown,2392,ELITE VALUE,76.87,48.74,CLEAR UPGRADE,0.0,0.0,,23.2,0.08,0.15,0.06,6.36,0.34,71.3,94.43
M. Nemec,Lokomotíva Zvolen,Slovakia II,18.0,Slovakia,unknown,19,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
Martin Nemcik,Karviná U19,Czech U19,18.0,Czech Republic,,291,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
O. Adam,Sparta Praha U19,Czech U19,18.0,Czech Republic,,97,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
P. Baleja,Žilina II,Slovakia,18.0,Slovakia,unknown,43,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
P. Filippov,Podbrezová,Czech U19,18.0,Czech Republic,,776,ELITE VALUE,93.27,65.14,CLEAR UPGRADE,0.0,0.0,,39.6,0.12,0.12,0.24,6.84,0.7,95.6,99.46
P. Filippov,Podbrezová,Slovakia,18.0,Czech Republic,,9,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
P. Sehnal,Slovácko U19,Czech U19,18.0,Czech Republic,unknown,1177,HIGH VALUE,50.73,22.6,ROTATIONAL / COVER,0.0,0.0,,-3.0,0.08,0.08,0.11,5.12,0.23,55.04,91.07
P. Streska,Sparta Praha U19,Czech U19,18.0,Czech Republic,unknown,495,FAIR VALUE,31.78,3.65,DEPTH,0.0,0.0,,-21.9,0.0,0.0,0.04,5.45,0.18,18.61,72.17
P. Tobias,Sparta Praha U17,Czech U17,18.0,Czech Republic,unknown,312,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
S. Klieštík,Mladá Boleslav U19,Czech U19,18.0,Czech Republic,unknown,552,OVERPRICED,13.02,-15.11,DEPTH,0.0,0.0,,-40.7,0.16,0.0,0.04,5.22,0.16,31.36,50.45
S. Nináč,Baník Ostrava U19,Czech II,18.0,Slovakia,unknown,54,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
Simon Vlna,Baník Ostrava,Czech U19,18.0,Slovakia,right,160,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
T. Meduna,Hradec Králové U19,Czech U19,18.0,Czech Republic,,2284,FAIR VALUE,37.94,9.81,DEPTH,0.0,0.0,,-15.8,0.16,0.08,0.07,3.39,0.35,54.68,77.99
V. Kotisek,Sparta Praha U19,Czech U19,18.0,Czech Republic,unknown,1178,ELITE VALUE,82.39,54.26,CLEAR UPGRADE,0.0,0.0,,28.7,0.23,0.08,0.21,3.44,0.53,84.04,97.8
A. Hubka,Slovan Liberec U19,Czech U19,19.0,Czech Republic,unknown,358,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
D. Hájek,Vlašim,Czech II,19.0,Czech Republic,right,852,OVERPRICED,12.49,-15.64,DEPTH,0.0,0.0,,-41.2,0.0,0.0,0.05,3.27,0.11,7.79,64.75
D. Straka,Púchov,Slovakia II,19.0,Slovakia,unknown,367,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
J. Brunner,Púchov,Slovakia II,19.0,Slovakia,unknown,106,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
J. Michlík,Pohronie,Slovakia II,19.0,Slovakia,unknown,1523,HIGH VALUE,56.15,28.02,CLEAR UPGRADE,0.0,0.0,,2.4,0.24,0.12,0.07,4.08,0.47,66.71,88.54
J. Pavek,Sigma Olomouc II,Czech U19,19.0,Czech Republic,unknown,182,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
K. Strucka,Malženice,Slovakia II,19.0,Slovakia,unknown,526,OVERPRICED,19.33,-8.8,DEPTH,0.0,0.0,,-34.4,0.0,0.0,0.03,5.48,0.0,8.68,94.85
L. Moudrý,Sparta Praha II,Czech II,19.0,Czech Republic,left,2440,FAIR VALUE,37.48,9.35,DEPTH,0.0,0.0,,-16.2,0.07,0.18,0.14,4.06,0.18,62.69,88.33
M. Bacik,Ružomberok U19,Slovakia,19.0,Slovakia,unknown,1533,OVERPRICED,17.73,-10.4,DEPTH,0.0,0.0,,-36.0,0.06,0.0,0.07,2.88,0.41,44.21,94.6
M. Brázda,Zlín U19,Czech U19,19.0,Czech Republic,unknown,1255,ELITE VALUE,91.31,63.18,CLEAR UPGRADE,0.0,0.0,,37.6,0.14,0.0,0.19,8.53,0.43,92.15,98.88
M. Kubrycht,Viktoria Plzeň U19,Czech U19,19.0,Czech Republic,unknown,936,OVERPRICED,16.49,-11.64,DEPTH,0.0,0.0,,-37.2,0.19,0.0,0.1,2.88,0.38,55.52,64.47
M. Veselák,Viktoria Plzeň U19,Czech U19,19.0,Czech Republic,unknown,414,OVERPRICED,0.6,-27.53,DEPTH,0.0,0.0,,-53.1,0.0,0.0,0.02,2.17,0.0,0.37,34.19
N. Vincent,České Budějovice U19,Czech U19,19.0,Czech Republic,,1242,ELITE VALUE,68.48,40.35,CLEAR UPGRADE,0.0,0.0,,14.8,0.0,0.14,0.11,6.45,0.22,64.92,77.65
P. Krejza,České Budějovice U19,Czech U19,19.0,Czech Republic,,1168,HIGH VALUE,50.13,22.0,ROTATIONAL / COVER,0.0,0.0,,-3.6,0.08,0.08,0.09,6.86,0.23,57.48,55.73
R. Petruška,Žilina II,Slovakia II,19.0,Czech Republic,right,1901,ELITE VALUE,87.45,59.32,CLEAR UPGRADE,0.0,0.0,,33.8,0.19,0.14,0.09,6.96,0.47,85.82,36.86
S. Barta,Banik Lehota pod Vtacnikom,Slovakia II,19.0,Slovakia,,9,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
S. Fronko,Slovan Bratislava II,Slovakia II,19.0,Slovakia,unknown,136,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
S. Gresko,Pohronie,Slovakia II,19.0,Slovakia,,1880,HIGH VALUE,54.95,26.82,CLEAR UPGRADE,0.0,0.0,,1.2,0.05,0.0,0.05,5.17,0.19,34.34,79.46
S. Ivan,Pohronie,Slovakia II,19.0,Slovakia,unknown,1305,HIGH VALUE,48.88,20.75,ROTATIONAL / COVER,0.0,0.0,,-4.8,0.0,0.14,0.05,4.76,0.21,33.78,54.67
Simon Vlna,Baník Ostrava,Slovakia II,19.0,Slovakia,right,904,ELITE VALUE,67.68,39.55,CLEAR UPGRADE,0.0,0.0,,14.0,0.3,0.0,0.05,6.37,0.2,46.98,95.65
T. Frýdl,Baník Ostrava II,Czech II,19.0,Czech Republic,unknown,1457,VALUE,45.74,17.61,ROTATIONAL / COVER,0.0,0.0,,-8.0,0.0,0.19,0.09,5.56,0.25,63.94,75.43
A. Musák,Baník Ostrava II,Czech II,20.0,"Slovakia, Ukraine",both,233,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
A. Musák,Baník Ostrava II,Czech,20.0,"Slovakia, Ukraine",both,826,HIGH VALUE,50.46,22.33,ROTATIONAL / COVER,0.0,0.0,,-3.2,0.0,0.0,0.05,4.47,0.33,42.1,91.38
A. Musák,Baník Ostrava II,Slovakia,20.0,"Slovakia, Ukraine",both,522,VALUE,42.56,14.43,DEPTH,0.0,0.0,,-11.1,0.17,0.0,0.2,4.66,0.0,49.48,92.28
B. Angyal,Šamorín,Slovakia II,20.0,Slovakia,right,148,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
C. Ogbu Emmanuel,Baník Ostrava II,Czech II,20.0,Czech Republic,unknown,673,FAIR VALUE,29.1,0.97,DEPTH,0.0,0.0,,-24.6,0.4,0.0,0.05,3.88,0.13,35.38,99.96
D. Planka,Baník Ostrava,Czech,20.0,Czech Republic,right,2511,ELITE VALUE,60.4,32.27,CLEAR UPGRADE,0.0,0.0,,6.7,0.07,0.14,0.14,3.87,0.29,62.48,78.67
D. Roušar,Příbram,Czech II,20.0,Czech Republic,unknown,66,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
J. Feit,Sparta Praha II,Czech II,20.0,Czech Republic,,1046,FAIR VALUE,36.92,8.79,DEPTH,0.0,0.0,,-16.8,0.0,0.09,0.02,4.39,0.34,25.33,88.42
J. Tošnar,Sparta Praha II,Czech II,20.0,Czech Republic,unknown,845,ELITE VALUE,62.57,34.44,CLEAR UPGRADE,0.0,0.0,,8.9,0.11,0.0,0.06,5.86,0.11,32.44,86.54
M. Henyig,Malženice,Slovakia II,20.0,Slovakia,right,1254,FAIR VALUE,37.42,9.29,DEPTH,0.0,0.0,,-16.3,0.0,0.07,0.1,3.16,0.22,36.25,52.09
N. Kapuš,Púchov,Slovakia II,20.0,Slovakia,right,1879,OVERPRICED,20.69,-7.44,DEPTH,0.0,0.0,,-33.0,0.0,0.1,0.06,4.26,0.29,45.05,39.9
S. Bočkay,Banik Lehota pod Vtacnikom,Slovakia II,20.0,Slovakia,,158,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
S. Samaj,Žilina II,Slovakia II,20.0,Slovakia,unknown,1785,HIGH VALUE,52.89,24.76,ROTATIONAL / COVER,0.0,0.0,,-0.8,0.0,0.0,0.05,6.45,0.1,22.92,95.27
T. Hájovský,Trenčín,Slovakia,20.0,Slovakia,right,2241,OVERPRICED,19.08,-9.05,DEPTH,0.0,0.0,,-34.6,0.08,0.04,0.03,4.78,0.12,17.99,44.52
T. Jelínek,Pardubice,Czech II,20.0,Czech Republic,,1249,ELITE VALUE,95.96,67.83,CLEAR UPGRADE,0.0,0.0,,42.3,0.07,0.14,0.22,8.07,0.36,89.68,99.16
T. Jelínek,Pardubice,Czech,20.0,Czech Republic,,779,ELITE VALUE,75.16,47.03,CLEAR UPGRADE,0.0,0.0,,21.5,0.12,0.12,0.12,6.82,0.58,80.82,96.66
V. Zahradnicek,Prostějov,Czech II,20.0,Czech Republic,unknown,385,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
Š. Faško,Podbrezová,Slovakia,20.0,Slovakia,left,152,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
A. Bužek,Slavia Praha,Czech II,21.0,Czech Republic,right,115,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
A. Bužek,Slavia Praha,Czech,21.0,Czech Republic,right,1269,ELITE VALUE,61.12,32.99,CLEAR UPGRADE,0.0,0.0,,7.4,0.07,0.07,0.06,5.25,0.35,52.65,83.84
L. Ambros,Górnik Zabrze,Poland,21.0,Czech Republic,left,1968,VALUE,85.46,12.11,CLEAR UPGRADE,250000.0,427300.0,1.7×,31.8,0.05,0.14,0.09,4.85,0.46,77.11,85.64
L. Mikulaj,Trenčín,Slovakia,21.0,Slovakia,,728,ELITE VALUE,60.97,32.84,CLEAR UPGRADE,0.0,0.0,,7.3,0.25,0.12,0.16,2.72,0.62,80.64,79.97
M. Lexa,Slovan Liberec,Czech,21.0,Czech Republic,right,788,OVERPRICED,12.76,-15.37,DEPTH,0.0,0.0,,-40.9,0.0,0.0,0.08,4.11,0.23,28.4,85.95
M. Žitný,Dukla Praha,Czech,21.0,Czech Republic,left,1009,OVERPRICED,8.9,-19.23,DEPTH,0.0,0.0,,-44.8,0.0,0.09,0.03,4.55,0.18,17.06,66.08
P. Gaszczyk,Dukla Praha,Czech,21.0,Czech Republic,right,642,OVERPRICED,8.62,-19.51,DEPTH,0.0,0.0,,-45.1,0.0,0.0,0.03,5.33,0.14,16.64,24.54
R. Horák,Slovácko,Czech II,21.0,Czech Republic,,1140,ELITE VALUE,70.78,42.65,CLEAR UPGRADE,0.0,0.0,,17.1,0.0,0.0,0.04,7.34,0.08,19.24,99.52
R. Horák,Slovácko,Czech,21.0,Czech Republic,,610,OVERPRICED,16.88,-11.25,DEPTH,0.0,0.0,,-36.8,0.15,0.0,0.02,4.57,0.0,10.31,76.59
S. Grygar,Ružomberok,Slovakia,21.0,Czech Republic,right,2065,OVERPRICED,31.36,-35.89,DEPTH,175000.0,109760.0,0.6×,-22.3,0.0,0.04,0.07,6.19,0.31,53.26,50.24
A. Gajdoš,Slovan Bratislava,Slovakia,22.0,Slovakia,right,1417,ELITE VALUE,97.11,68.98,CLEAR UPGRADE,0.0,0.0,,43.4,0.13,0.13,0.17,6.8,0.38,92.77,82.27
D. Krch,České Budějovice,Czech II,22.0,Czech Republic,,1807,FAIR VALUE,35.89,7.76,DEPTH,0.0,0.0,,-17.8,0.0,0.1,0.04,4.93,0.15,33.05,89.6
D. Látal,Baník Ostrava,Czech,22.0,Czech Republic,right,69,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
H. Hruska,Vlašim,Czech II,22.0,Czech Republic,,1417,ELITE VALUE,67.06,38.93,CLEAR UPGRADE,0.0,0.0,,13.4,0.0,0.13,0.1,6.16,0.32,82.72,89.02
J. Murgaš,Ružomberok,Slovakia,22.0,Slovakia,right,616,HIGH VALUE,48.17,20.04,ROTATIONAL / COVER,0.0,0.0,,-5.5,0.15,0.0,0.05,5.55,0.29,47.55,32.63
M. Kušnír,Inter Bratislava,Slovakia II,22.0,Slovakia,unknown,2301,HIGH VALUE,53.26,25.13,ROTATIONAL / COVER,0.0,0.0,,-0.4,0.2,0.23,0.11,5.4,0.27,77.47,70.44
M. Náprstek,Teplice,Czech,22.0,Czech Republic,left,1292,OVERPRICED,4.11,-70.9,DEPTH,275000.0,27500.0,0.1×,-49.6,0.07,0.0,0.06,3.97,0.14,21.51,50.25
M. Sauer,Toulouse,France,22.0,Slovakia,right,807,OVERPRICED,5.58,-86.64,DEPTH,1300000.0,145080.0,0.1×,-48.1,0.11,0.0,0.01,3.9,0.11,13.67,28.96
Omar Ahmed Shami,Al Raed,Saudi II,22.0,"Saudi Arabia, Czech Republic",unknown,1815,FAIR VALUE,34.58,6.45,DEPTH,0.0,0.0,,-19.1,0.05,0.1,0.06,4.31,0.25,39.38,33.89
P. Vydra,Sparta Praha,Czech,22.0,Czech Republic,right,1536,ELITE VALUE,90.73,62.6,CLEAR UPGRADE,0.0,0.0,,37.0,0.18,0.23,0.06,7.15,0.47,83.71,53.62
S. Bednár,Šamorín,Slovakia II,22.0,Slovakia,unknown,350,NOT SCORED (<400 min),,,NOT SCORED,,,,,,,,,,,
