IMPECT_PlayerID,IMPECT_Name,IMPECT_FirstName,IMPECT_LastName,IMPECT_Team,IMPECT_Competition,IMPECT_Country,IMPECT_Season,Wyscout_Name,Wyscout_Team,Wyscout_Position,Wyscout_Age,Wyscout_File,MatchConfidence,LastNameMatchScore,TeamMatchScore,InitialMatch
273276,Roman Pasevich,Roman,Pasevich,NS Mura,Prva Liga,Serbia,25/26,R. Pasevich,Mura,"LW, LAMF",26.0,Slovenia.xlsx,MEDIUM,100,100.0,True
117276,Samo Pridgar,Samo,Pridgar,NK Radomlje,Prva Liga,Serbia,25/26,S. Pridgar,Radomlje,GK,23.0,Slovenia.xlsx,HIGH,100,100.0,True
165571,Sandi Nuhanovic,Sandi,Nuhanovic,NK Bravo,Prva Liga,Serbia,25/26,S. Nuhanović,AŠK Bravo,LCMF,27.0,Slovenia.xlsx,HIGH,100,82.35294117647058,True
168143,Sandro Jovanovic,Sandro,Jovanovic,FC Koper,Prva Liga,Serbia,25/26,S. Jovanović,Primorje,"LWB, RCMF, LB",24.0,Slovenia.xlsx,LOW,100,25.0,True
33281,Scotty Sadzoute,Scotty,Sadzoute,FC Koper,Prva Liga,Serbia,25/26,S. Sadzoute,Koper,LB,27.0,Slovenia.xlsx,HIGH,100,100.0,True
6728,Sheyi Ojo,Sheyi,Ojo,NK Maribor,Prva Liga,Serbia,25/26,S. Ojo,Maribor,"LB, RW, RAMF",28.0,Slovenia.xlsx,HIGH,100,100.0,True
276151,Simon Rogina,Simon,Rogina,NK Aluminij Kidricevo,Prva Liga,Serbia,25/26,S. Rogina,Aluminij,"LCMF, LW",25.0,Slovenia.xlsx,HIGH,100,100.0,True
7365,Stanislav Krapukhin,Stanislav,Krapukhin,NK Radomlje,Prva Liga,Serbia,25/26,S. Krapukhin,Radomlje,CF,28.0,Slovenia.xlsx,HIGH,100,100.0,True
107112,Stefan Melentijevic,Stefan,Melentijevic,ND Primorje,Prva Liga,Serbia,25/26,S. Melentijevic,Primorje,"RCB, CB",22.0,Slovenia.xlsx,HIGH,100,100.0,True
115621,Svit Seslar,Svit,Seslar,NK Celje,Prva Liga,Serbia,25/26,S. Sešlar,Celje,"AMF, CF, RWB",24.0,Slovenia.xlsx,HIGH,100,100.0,True
33461,Tilen Klemencic,Tilen,Klemencic,ND Primorje,Prva Liga,Serbia,25/26,T. Klemenčič,Primorje,"RB, RCB",30.0,Slovenia.xlsx,HIGH,100,100.0,True
139290,Tine Cuk,Tine,Cuk,NK Maribor,Prva Liga,Serbia,25/26,T. Čuk,Ilirija,"RAMF, LW, AMF",21.0,Slovenia.xlsx,LOW,100,23.529411764705884,True
