Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Eight Score,Progressive passes per 90,Key passes per 90,Through passes per 90,Shots per 90,Goals per 90,xG per 90,Progressive runs per 90
J. Meltofte Janssen,Nordsjælland U21,Denmark,Youth Academy,19.0,Denmark,,1830,0,90.03,9.54,0.49,0.84,0.79,0.15,0.06,0.39
W. Kirk,Silkeborg U19,Denmark,Youth Academy,19.0,Denmark,unknown,815,0,68.9,5.74,0.22,0.55,1.33,0.11,0.21,0.55
G. Dahl,Vejgaard B,Denmark IV,Reserve / B Team,22.0,Denmark,right,1738,150000,55.89,5.49,0.36,0.41,0.57,0.0,0.09,1.4
L. Schmidt,Vejgaard B,Denmark IV,Reserve / B Team,20.0,Denmark,,1064,0,51.87,4.65,0.25,0.59,1.02,0.0,0.07,1.69
V. Kabzinski,Łódzki KS II,Poland III,Reserve / B Team,19.0,Poland,,1652,0,39.96,4.79,0.22,0.65,0.6,0.11,0.03,0.87
P. Grabowski,Łódzki KS II,Poland III,Reserve / B Team,19.0,Poland,left,1325,0,33.84,4.14,0.07,0.14,1.49,0.14,0.12,1.02
V. Gromek,Stoke City U21,Poland III,Youth Academy,21.0,Poland,,933,0,26.69,4.05,0.1,0.39,1.54,0.0,0.17,0.68
M. Heyde,Nordsjælland U21,Denmark,Youth Academy,19.0,Denmark,right,509,0,24.02,8.84,0.0,0.18,1.06,0.0,0.04,0.35
J. Kovačič,Mura U17,Slovenia,Youth Academy,17.0,Slovenia,unknown,441,0,22.13,2.65,0.2,0.61,0.61,0.0,0.04,1.02
F. Fenger,Lyseng U21,Denmark IV,Youth Academy,20.0,Denmark,,832,0,0.73,4.33,0.11,0.11,0.11,0.0,0.03,0.22
