Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Eight Score,Progressive passes per 90,Key passes per 90,Through passes per 90,Shots per 90,Goals per 90,xG per 90,Progressive runs per 90
V. Byskov,Midtjylland,Denmark,Senior First Team,21.0,Denmark,right,1257,450000,98.45,7.3,0.64,0.72,2.08,0.5,0.2,1.22
T. Jørgensen,Viborg,Denmark,Senior First Team,20.0,Denmark,left,2758,0,98.41,7.83,0.65,0.69,1.96,0.13,0.17,3.39
T. Fredriksen,Eidsvold,Norway III,Senior First Team,23.0,Norway,unknown,536,0,98.38,11.25,0.34,1.18,1.68,0.17,0.09,1.51
M. Munck,Vendsyssel,Denmark III,Senior First Team,21.0,Denmark,right,1666,200000,97.87,7.51,0.22,0.7,2.11,0.27,0.23,3.19
R. Bąk,Chrobry Głogów,Poland III,Senior First Team,21.0,Poland,right,1559,0,97.53,8.02,0.58,0.58,1.79,0.29,0.17,1.44
Fellipe,FK Liepāja,Latvia,Senior First Team,20.0,Brazil,unknown,863,0,96.91,7.93,0.42,0.21,2.61,0.31,0.38,2.5
L. Thorell,Mjällby,Sweden,Senior First Team,21.0,"Sweden, Poland",right,686,0,96.62,8.92,0.52,1.18,1.05,0.13,0.06,2.36
A. Wołczek,Sandecja Nowy Sącz,Poland III,Senior First Team,20.0,Poland,left,2519,0,96.3,7.0,0.39,0.64,2.11,0.36,0.19,1.29
U. Seferi,Kvik Halden,Norway III,Senior First Team,23.0,Norway,right,674,75000,94.9,6.28,0.67,0.4,1.74,0.27,0.21,4.54
S. Kądziołka,Stal Rzeszów,Poland II,Senior First Team,20.0,Poland,right,1779,0,94.83,6.78,0.51,0.81,1.37,0.15,0.11,1.57
