Player,Team,_League,Age,Position,Passport country,Foot,Height,Minutes played,Matches played,Goals,Assists,xG,xA,Progressive passes per 90,"Accurate progressive passes, %",Key passes per 90,Passes per 90,"Accurate passes, %","Duels won, %",Interceptions per 90
D. Holoubek,FS Jelgava,Latvia,23.0,"LCMF, RCMF, DMF",Czech Republic,right,0,1267,14,0,1,0.54,1.07,6.32,67.42,0.36,42.55,81.64,53.82,4.05
K. Daněk,LASK,Austria,23.0,"RCMF, AMF, CF",Czech Republic,left,182,1485,24,2,2,3.13,2.65,3.58,77.97,0.67,26.18,79.17,45.86,3.15
M. Diakite,Šamorín,Slovakia II,23.0,LCMF,Slovakia,,195,9,1,0,0,0.0,0.09,,,,,,,
M. Domik,Slávia TU Košice,Slovakia II,23.0,"LCMF, RCMF, AMF",Slovakia,,0,681,13,0,1,0.09,0.64,4.89,56.76,0.4,35.29,77.9,44.72,2.91
M. Domik,Slávia TU Košice,Slovakia,23.0,"RCMF, LWB, LWF",Slovakia,,0,367,7,0,1,0.41,0.02,3.43,85.71,0.25,32.86,82.09,47.83,2.45
M. Kudela,Hanácká,Czech II,23.0,"RCMF, DMF, LCMF",Czech Republic,,0,443,13,0,0,0.47,0.11,4.47,68.18,0.0,32.71,80.75,49.15,2.03
M. Šviderský,Slovácko,Czech,23.0,"RCMF, RDMF, LCMF",Slovakia,left,184,1219,20,0,0,0.54,0.77,5.32,65.28,0.3,31.45,76.76,51.26,4.58
P. Kulíšek,Hanácká,Czech II,23.0,"RCMF, DMF, LCMF",Czech Republic,right,188,1622,25,0,0,1.24,0.37,5.55,62.0,0.06,28.85,80.38,57.72,3.44
S. Varga,Šamorín,Slovakia II,23.0,"RCMF, RDMF","Slovakia, Hungary",unknown,0,1715,27,4,1,2.09,2.1,6.66,62.2,0.47,33.59,73.75,53.43,3.94
T. Buchvaldek,Ružomberok,Slovakia,23.0,"RCMF, CF, LCMF",Czech Republic,,0,351,9,0,0,0.3,0.13,2.56,60.0,0.0,20.0,74.36,41.94,2.56
