Player,Team,_League,Age,Position,Passport country,Foot,Height,Minutes played,Matches played,Goals,Assists,xG,xA,Progressive passes per 90,"Accurate progressive passes, %",Key passes per 90,Passes per 90,"Accurate passes, %","Duels won, %",Interceptions per 90
A. Hron,Slovan Liberec U17,Czech U17,15.0,"LCMF, RCMF",Czech Republic,unknown,0,35,2,0,0,0.16,0.0,,,,,,,
Adam Beran,FK Mladá Boleslav U17,Czech U17,15.0,LCMF,Czech Republic,,179,50,1,0,0,0.03,0.0,1.8,100.0,0.0,16.2,66.67,71.43,9.0
D. Střihavka,Slovan Liberec U17,Czech U17,15.0,"LCMF, RWF, RCMF",Czech Republic,unknown,0,814,16,3,1,1.53,0.54,5.75,67.31,0.33,24.55,68.92,52.79,4.2
F. Matěj,Slovan Liberec U17,Czech U17,15.0,"RCMF, DMF",Czech Republic,,0,86,2,0,0,0.15,0.12,4.19,25.0,0.0,47.09,77.78,42.11,2.09
M. Korbel,Dukla Praha U17,Czech U17,15.0,"RCMF, LCMF, AMF",Czech Republic,unknown,155,1392,20,3,0,4.11,0.81,4.14,65.63,0.26,28.71,76.58,48.28,2.52
Š. Šimon,Pardubice U17,Czech U17,15.0,"RCMF, LCMF",Czech Republic,,0,785,10,1,1,0.63,1.44,5.96,57.69,0.34,28.09,78.78,45.32,2.18
A. Tichánek,Vysočina Jihlava U19,Czech U19,16.0,"LCMF, RCMF, AMF",Czech Republic,unknown,0,882,11,1,3,1.64,2.06,5.82,66.67,0.31,22.04,62.04,46.73,1.33
A. Van Geet,Slovan Liberec U19,Czech U19,16.0,"RCMF, LDMF, RDMF",Czech Republic,unknown,0,876,11,1,0,0.3,0.31,5.03,59.18,0.1,36.47,84.23,53.08,4.11
D. Kolar,České Budějovice U17,Czech U17,16.0,"RCMF, DMF",Czech Republic,unknown,0,795,9,1,2,1.27,0.93,8.83,84.62,0.45,42.11,77.42,56.45,3.74
F. Rada,Viktoria Plzeň U17,Czech U17,16.0,"RCMF, LDMF, RDMF",Czech Republic,unknown,0,719,12,1,2,1.82,1.31,7.89,73.02,0.63,35.05,73.93,61.08,4.13
J. Kosar,FC Hradec Králové U17,Czech U17,16.0,"LCMF, LWF",Czech Republic,unknown,0,74,8,0,0,0.0,0.0,4.86,50.0,0.0,24.32,75.0,33.33,4.86
J. Zadrobílek,Sparta Praha U19,Czech U17,16.0,"LCMF, RCMF",Czech Republic,,0,1063,15,11,0,6.91,1.52,7.87,78.49,0.51,31.83,64.1,52.66,2.96
J. Zadrobílek,Sparta Praha U19,Czech U19,16.0,"LCMF, CF, RCMF",Czech Republic,,0,138,3,0,0,0.44,0.29,6.52,70.0,0.65,25.43,66.67,58.33,3.91
K. Klíma,Sparta Praha U17,Czech U17,16.0,"LCMF, RCMF",Czech Republic,unknown,0,309,5,0,0,0.22,0.88,6.12,76.19,0.87,27.67,82.11,57.81,4.08
L. Forejt,Sparta Praha U17,Czech U17,16.0,"RCMF, CB, DMF",Czech Republic,unknown,0,1000,14,1,1,0.97,0.1,8.37,64.52,0.18,39.51,82.0,53.8,3.78
L. Havrlík,Sparta Praha U17,Czech U17,16.0,"RCMF, DMF",Czech Republic,unknown,0,424,6,0,0,1.1,1.35,7.85,62.16,0.42,32.05,68.87,47.32,5.73
M. Jakub,Sigma Olomouc U17,Czech U17,16.0,"RCMF, LCMF",Czech Republic,,0,1578,22,2,1,1.52,1.61,6.5,71.05,0.34,30.46,75.66,48.72,4.56
M. Pesek,České Budějovice U17,Czech U17,16.0,"RCMF, DMF",Czech Republic,unknown,0,1448,20,2,3,1.94,1.7,5.41,80.46,0.5,25.3,75.68,52.33,2.49
S. Mladen,Dukla Praha U17,Czech U17,16.0,"LCMF, RAMF, RCMF",Czech Republic,unknown,0,994,12,6,2,2.46,3.62,6.97,68.83,0.81,27.71,66.01,47.4,3.17
S. Pavlik,České Budějovice U17,Czech U17,16.0,"LCMF, CF, AMF",Czech Republic,unknown,0,1587,20,8,3,9.63,5.37,6.98,78.05,0.74,30.68,67.1,47.27,2.44
Š. Sedlák,FC Vysočina Jihlava U17,Czech U17,16.0,"LCMF, DMF",Czech Republic,unknown,0,907,13,2,2,1.32,1.57,7.94,72.5,0.79,30.86,75.88,42.92,3.97
Š. Sedlák,Vysočina Jihlava U19,Czech U19,16.0,"RCMF, LCMF",Czech Republic,unknown,0,615,8,1,1,1.37,1.16,5.41,70.27,0.59,22.68,61.94,55.1,3.51
A. Hink,Vysočina Jihlava U19,Czech U17,17.0,"RCMF, DMF, LCMF",Czech Republic,unknown,0,1208,16,8,0,4.42,0.3,6.78,74.73,0.07,33.9,81.32,45.91,2.24
