Player,Team,_League,Age,Passport country,Foot,Minutes played,Market value,Eight Score,Progressive passes per 90,Key passes per 90,Through passes per 90,Shots per 90,Goals per 90,xG per 90,Progressive runs per 90
J. Hamburger-Toft,Vanløse,Denmark IV,23.0,Denmark,,1799,0,78.76,6.35,0.25,0.45,1.2,0.2,0.1,1.35
Benjamin Kold,Næstved,Denmark III,22.0,Denmark,right,1885,0,78.59,8.31,0.1,0.48,1.53,0.24,0.11,0.48
A. Lausen,Esbjerg,Denmark II,23.0,Denmark,,2610,250000,78.17,6.86,0.17,0.41,2.28,0.1,0.16,0.83
K. Jónsson,Triestina,Italy III - Part III,23.0,Iceland,right,3558,50000,78.1,7.01,0.18,0.43,1.32,0.08,0.08,1.32
R. Shein,Fredrikstad,Norway,22.0,Estonia,both,958,0,77.39,6.11,0.19,0.19,1.22,0.19,0.12,3.1
M. Clement,VSK Århus,Denmark III,22.0,Denmark,,1080,0,75.67,6.42,0.33,0.25,0.75,0.17,0.11,1.0
D. Pejičić,Maribor,Slovenia,18.0,Slovenia,right,1536,0,75.18,3.63,0.59,0.29,1.93,0.29,0.38,0.82
F. Lukic,Austria Wien II,Austria II,20.0,Sweden,,1391,0,75.15,6.79,0.52,0.32,0.26,0.13,0.04,2.14
L. Bech Hermansen,Kjelsås,Norway III,22.0,Norway,,588,0,74.59,6.73,0.31,0.31,0.61,0.15,0.1,2.14
M. Holt,Vendsyssel,Denmark III,20.0,Denmark,,1093,0,74.47,4.2,0.33,0.25,1.98,0.25,0.19,2.31
I. Lawrynowicz,Unia Skierniewice,Poland III,23.0,Poland,left,1344,0,73.9,7.17,0.27,0.2,1.21,0.07,0.09,1.21
E. Ostrc,AŠK Bravo,Slovenia,23.0,Slovenia,right,435,350000,73.48,9.52,0.41,0.62,0.83,0.0,0.06,0.41
M. Kosior,Unia Skierniewice,Poland III,23.0,Poland,unknown,1772,0,73.37,5.69,0.3,0.56,1.27,0.05,0.06,0.91
M. Pedersen,Jaro,Finland,21.0,Norway,right,622,0,72.04,5.93,0.72,0.14,1.01,0.0,0.17,1.45
W. Axelsson Tervonen,Hammarby Talang,Sweden III,23.0,Sweden,unknown,429,0,71.87,6.5,0.42,0.63,0.63,0.0,0.03,1.47
M. Rytter,VSK Århus,Denmark III,21.0,Denmark,right,2172,0,71.79,6.84,0.21,0.79,0.54,0.04,0.05,1.53
C. Yirenkyi,Nordsjælland,Denmark,20.0,Denmark,,2867,0,71.7,6.03,0.5,0.28,0.6,0.06,0.06,1.32
J. Żywicki,Chojniczanka Chojnice,Poland III,20.0,Poland,unknown,1216,0,70.72,4.96,0.22,0.44,2.29,0.3,0.15,0.81
K. Davidsen,Holstein Kiel,Germany II,21.0,Denmark,right,1912,0,69.93,4.66,0.28,0.56,1.27,0.14,0.1,0.94
T. Proczek,Znicz Pruszków,Poland II,23.0,Poland,,1529,0,69.81,5.0,0.41,0.35,1.41,0.06,0.11,1.29
H. Åslund,Karlberg,Sweden III,19.0,Sweden,,601,0,69.79,5.09,0.3,0.45,1.2,0.15,0.14,0.6
W. Marshage,Sollentuna,Sweden III,21.0,Sweden,right,581,0,69.0,12.39,0.15,0.93,0.77,0.0,0.05,1.24
A. Pálmason,KR,Iceland,16.0,Iceland,,552,0,68.98,4.08,0.33,0.0,1.63,0.33,0.29,2.12
W. Kirk,Silkeborg U19,Denmark,19.0,Denmark,unknown,815,0,68.9,5.74,0.22,0.55,1.33,0.11,0.21,0.55
N. Juul-Sandberg,Middelfart,Denmark II,20.0,Denmark,right,1747,0,67.93,7.32,0.41,0.26,0.41,0.05,0.04,1.49
J. Adkonis,Pogoń Grod. Mazowiecki,Poland II,18.0,Poland,both,2274,0,67.65,5.66,0.28,0.16,1.78,0.08,0.12,1.19
M. Remeikis,Hegelmann Litauen,Lithuania,23.0,Lithuania,right,924,350000,67.24,6.33,0.29,0.68,0.49,0.19,0.11,0.49
V. Holsæther,Lørenskog,Norway III,23.0,Norway,,462,0,66.97,3.7,0.58,0.39,2.14,0.0,0.16,1.36
E. Grzywacz,Nürnberg,Germany 4 - Part I,20.0,Poland,,1028,0,66.45,6.3,0.88,0.26,0.61,0.0,0.06,1.49
I. Patrikejevs,FK Liepāja,Latvia,20.0,Latvia,left,877,0,66.11,4.41,0.82,0.1,1.44,0.21,0.2,0.82
K. Terlecki,Łódzki KS,Poland II,20.0,Poland,left,1904,0,65.16,5.11,0.43,0.19,1.23,0.05,0.07,1.42
A. Nowak,NKP Podhale,Poland III,19.0,Poland,unknown,467,0,64.76,5.4,0.19,0.39,1.16,0.19,0.07,0.96
G. Sandberg,Oddevold,Sweden II,23.0,Sweden,right,759,200000,64.59,5.45,0.24,0.12,1.54,0.24,0.18,0.83
H. Lindahl,Eskilsminne,Sweden III,18.0,Sweden,,563,0,64.32,6.71,0.0,0.48,1.44,0.16,0.12,1.12
N. Akogyeram-Fjeldberg,Odds,Norway II,20.0,Norway,unknown,743,0,64.3,2.66,0.24,0.0,1.45,0.36,0.3,1.7
R. Siht,Nõmme Kalju,Estonia,19.0,Estonia,unknown,1220,0,64.25,4.94,0.96,0.22,1.03,0.07,0.18,0.66
W. Urbanski,Legia Warszawa,Poland,21.0,Poland,right,876,0,64.18,4.01,0.31,0.41,1.03,0.1,0.2,1.23
G. Žaleiko,FS Jelgava,Latvia,21.0,Latvia,right,1289,0,63.69,6.63,0.28,0.63,0.91,0.0,0.04,1.19
J. Skau,Jaro,Finland,23.0,Norway,right,874,100000,63.57,9.99,0.1,0.93,0.72,0.0,0.05,1.34
W. Nowak,Wisła Płock,Poland,21.0,Poland,,2797,0,63.19,2.99,0.45,0.19,1.67,0.13,0.16,1.35
A. Skogmar,Malmö FF,Sweden,20.0,"Thailand, Sweden",right,450,0,62.95,2.8,1.0,0.0,1.2,0.4,0.08,1.6
K. Palumets,Podbrezová,Slovakia,23.0,Estonia,left,2154,200000,62.76,6.89,0.42,0.29,0.79,0.13,0.06,0.46
E. Krasniqi,Kvik Halden,Norway III,23.0,Norway,unknown,588,0,62.54,4.74,0.46,0.31,1.53,0.15,0.23,0.31
M. Kristensen,Fremad Amager,Denmark III,23.0,Denmark,right,430,100000,62.22,6.7,0.42,0.42,1.26,0.0,0.03,1.05
J. Kucharski,Stal Rzeszów,Poland II,17.0,Poland,both,689,0,61.9,2.09,0.52,0.13,2.09,0.13,0.11,1.31
A. Sher,Sarpsborg 08,Norway,23.0,"Sweden, Iraq",right,902,750000,61.63,5.29,0.2,0.7,1.0,0.1,0.06,0.5
K. Barslund,Brommapojkarna,Sweden,22.0,Denmark,right,598,350000,61.24,5.87,0.45,0.75,0.45,0.15,0.03,0.15
S. Sköldqvist,Eskilstuna,Sweden III,22.0,Sweden,unknown,619,0,61.19,4.8,0.58,0.15,1.16,0.15,0.19,0.73
K. Skóra,Zagłębie Sosnowiec,Poland III,22.0,Poland,right,1138,400000,61.11,3.16,0.16,0.24,4.67,0.4,0.35,2.06
S. Kvia-Egeskog,Viking,Norway,22.0,Norway,right,909,750000,60.94,2.18,0.4,0.1,1.09,0.4,0.28,1.09
G. Thórdarson,Lech Poznań,Poland,21.0,Iceland,right,574,0,60.75,2.67,0.31,0.31,1.57,0.31,0.26,0.31
L. Tinggaard Helmi,Hørsholm-Usserød,Denmark IV,21.0,Denmark,unknown,2049,0,60.45,9.75,0.13,0.44,0.66,0.04,0.06,1.27
G. Kranjcic,Farense,Slovenia,20.0,Slovenia,left,880,0,60.35,5.32,0.31,0.61,1.23,0.0,0.06,0.92
S. Maszkowski,Jastrzębie,Poland III,20.0,Poland,,893,0,60.13,5.54,0.5,1.01,0.71,0.0,0.02,1.31
B. Naustdal,Jerv,Norway III,23.0,Norway,right,435,0,60.06,8.9,0.41,0.62,0.21,0.0,0.0,0.62
F. Liszka,Považská Bystrica,Slovakia II,22.0,Poland,,1453,0,59.82,5.82,0.19,0.74,1.05,0.06,0.1,0.81
N. Osterc,Ilirija,Slovenia II,19.0,Slovenia,unknown,815,0,59.59,5.74,0.22,0.22,0.88,0.11,0.03,2.76
L. Nielsen,Skive,Denmark III,20.0,Denmark,right,484,0,58.86,6.69,1.49,0.19,0.93,0.0,0.05,1.3
A. Horup,AB,Denmark III,20.0,Denmark,unknown,728,0,58.69,6.8,0.0,0.37,1.11,0.25,0.14,1.11
N. Björk,FBK Karlstad,Sweden III,22.0,Sweden,,713,0,58.47,5.81,0.25,0.5,0.63,0.0,0.04,1.89
D. Šluta,Transinvest Vilnius,Lithuania,21.0,Lithuania,right,731,0,58.42,4.06,0.25,0.25,1.35,0.12,0.15,1.35
J. Nielsen,Silkeborg,Denmark,20.0,Denmark,right,974,0,57.88,5.82,0.18,0.28,0.55,0.18,0.04,2.13
T. Magnússon,Hearts,Scotland,23.0,Iceland,,1381,50000,57.86,5.15,0.26,0.26,1.43,0.2,0.23,0.33
A. Beck Jensen,Viborg,Denmark,22.0,Denmark,right,1313,0,57.71,3.91,0.27,0.07,1.51,0.14,0.13,2.4
J. Paananen,Oulu,Finland,19.0,Finland,unknown,717,0,57.51,6.28,0.38,1.13,0.88,0.0,0.02,0.63
E. Tjøstheim,Follo,Norway III,23.0,Norway,right,561,0,57.44,5.13,0.0,0.48,1.12,0.32,0.23,0.96
M. Wziech,Łódzki KS,Poland III,23.0,Poland,,914,0,56.19,4.53,0.2,0.49,2.56,0.0,0.14,1.48
G. Dahl,Vejgaard B,Denmark IV,22.0,Denmark,right,1738,150000,55.89,5.49,0.36,0.41,0.57,0.0,0.09,1.4
M. Andersson,Laholms FK,Sweden III,20.0,Sweden,unknown,573,0,55.63,3.93,0.47,0.16,1.1,0.0,0.14,1.73
C. Froulund,Frem,Denmark IV,19.0,Denmark,,1715,0,55.33,6.35,0.26,0.31,0.63,0.1,0.08,0.58
D. Bergman,Ängelholm,Sweden III,22.0,"Sweden, Peru",right,743,0,54.96,8.96,0.0,0.36,0.97,0.24,0.08,0.61
G. Larsen,HB Køge,Denmark II,19.0,Denmark,unknown,1882,0,54.74,5.02,0.38,0.48,0.81,0.0,0.06,1.24
V. Froholdt,Porto,Portugal,20.0,Denmark,right,3164,0,54.47,2.19,0.31,0.03,1.02,0.17,0.17,1.79
O. Rosengren,Malmö FF,Sweden,23.0,Sweden,right,797,0,54.16,5.42,0.0,0.11,2.26,0.11,0.25,1.36
M. Kalemba,Tychy 71,Poland II,20.0,"Poland, Germany",right,738,0,54.11,4.76,0.37,0.37,0.85,0.0,0.04,1.59
M. Arsalo,SJK,Finland,23.0,Finland,right,728,100000,54.05,11.74,0.12,0.62,0.99,0.0,0.01,0.87
L. Vabö,Sandviken,Sweden II,21.0,Sweden,left,416,0,53.56,5.41,0.65,0.0,1.3,0.0,0.15,0.43
A. Rønning,Kristiansund,Norway,20.0,Norway,both,563,0,52.88,3.52,0.16,0.16,2.56,0.16,0.26,2.72
O. Wojciechowski,Polonia Warszawa,Poland II,21.0,Poland,right,1644,200000,52.15,4.32,0.27,0.27,0.88,0.11,0.12,1.64
L. Schmidt,Vejgaard B,Denmark IV,20.0,Denmark,,1064,0,51.87,4.65,0.25,0.59,1.02,0.0,0.07,1.69
A. Kozubal,Lech Poznań,Poland,21.0,Poland,right,2762,650000,51.26,6.06,0.16,0.16,1.14,0.03,0.1,0.88
A. Potur,HamKam,Norway,23.0,Norway,left,655,325000,51.16,3.16,0.41,0.0,1.1,0.0,0.25,2.89
K. Dziedzic,Warta Poznań,Poland III,20.0,Poland,right,1159,0,50.73,5.82,0.16,0.39,1.16,0.08,0.07,0.93
F. Koperski,Olimpia Grudziądz,Poland III,22.0,Poland,right,853,200000,50.04,3.06,0.21,0.21,1.48,0.11,0.19,2.53
A. Ahlstrand,Hässleholms IF,Sweden III,22.0,Sweden,right,519,0,49.87,6.24,0.0,0.69,1.04,0.0,0.16,0.69
T. Knaus,Dravinja,Slovenia II,22.0,Slovenia,right,401,0,49.08,7.86,0.0,0.0,1.35,0.22,0.15,0.9
P. Langhoff,Djurgården,Denmark II,22.0,Denmark,,1706,0,48.94,6.86,0.16,0.69,0.32,0.0,0.01,1.21
L. Christophersen,FA 2000,Denmark IV,23.0,Denmark,,699,0,48.88,3.99,0.26,0.26,1.93,0.0,0.32,1.29
M. Simonič,Aluminij,Slovenia,20.0,Slovenia,right,1960,0,48.84,5.05,0.28,0.6,0.92,0.05,0.05,0.55
P. Johansen,Tromsdalen,Norway III,22.0,Norway,right,575,0,48.17,7.98,0.0,2.03,0.63,0.0,0.05,0.78
J. Hjertø-Dahl,Tromsø,Norway,20.0,Norway,right,1026,0,47.71,3.51,0.0,0.09,2.19,0.44,0.21,1.67
N. Vasin,Polonia Warszawa,Poland II,19.0,Poland,right,536,0,47.68,3.02,0.34,0.67,2.35,0.0,0.12,0.5
M. Kowalczyk,Katowice,Poland,22.0,Poland,right,2378,0,47.07,4.13,0.19,0.45,1.17,0.04,0.12,0.98
F. Andersson,Sandviken,Sweden II,20.0,Sweden,unknown,722,0,46.87,6.86,0.25,0.12,0.62,0.0,0.08,1.0
E. Kjær,Thisted,Denmark III,20.0,Denmark,,512,0,46.39,3.52,0.53,0.35,0.88,0.0,0.03,2.46
J. Vester,Viborg,Denmark,20.0,Denmark,right,569,350000,46.24,4.11,0.32,0.16,1.11,0.32,0.11,0.63
J. Paszkowski,Kalisz,Poland III,19.0,Poland,right,2157,0,46.17,5.13,0.13,0.38,1.25,0.13,0.05,1.17
M. Maksimkin,Trans,Estonia,23.0,Estonia,right,408,0,45.45,3.53,0.44,1.1,1.32,0.0,0.04,0.66
L. Elvestad Neto,Brattvåg,Norway III,21.0,Norway,right,653,0,45.29,4.0,0.28,0.14,0.41,0.14,0.09,1.65
A. Södeliden,Skövde AIK,Sweden III,19.0,Sweden,unknown,732,0,45.14,4.8,0.49,0.37,0.61,0.12,0.03,0.74
V. Engstrøm,Thisted,Denmark III,20.0,Denmark,,820,0,45.06,4.06,0.11,0.22,1.76,0.33,0.28,0.88
E. Kolve,Jerv,Norway III,21.0,Norway,right,401,0,44.6,3.37,0.22,0.22,0.67,0.22,0.15,1.57
M. Tøfting,Lyseng,Denmark IV,20.0,Denmark,unknown,771,0,44.52,3.97,0.23,0.58,0.7,0.12,0.13,0.82
O. Jacobsen,VSK Århus,Denmark III,22.0,Denmark,,1003,0,44.45,7.18,0.09,0.36,0.63,0.0,0.07,0.99
L. Róbertsson,Värnamo,Sweden II,21.0,Iceland,right,859,125000,44.06,6.29,0.1,0.21,0.94,0.31,0.13,0.31
J. Kolan,Zagłębie Lubin,Poland,21.0,Poland,right,1340,0,43.99,6.65,0.2,0.47,1.07,0.07,0.05,0.13
R. Koch Groth Pedersen,Middelfart,Denmark II,19.0,Denmark,unknown,573,0,43.98,6.44,0.31,0.16,1.57,0.0,0.05,0.47
P. Kristal,Köln II,Germany 4 - Part IV,18.0,Estonia,right,1994,0,43.05,6.05,0.23,0.5,0.59,0.0,0.04,0.86
V. Westh,Silkeborg,Denmark,22.0,Denmark,,1362,250000,42.95,7.6,0.2,0.33,0.46,0.0,0.01,1.19
S. Richardsen,Lørenskog,Norway III,21.0,Norway,,472,0,41.8,3.24,0.95,0.19,1.33,0.0,0.37,0.57
A. Brönner,IFK Norrköping,Sweden II,18.0,Sweden,unknown,694,0,41.75,5.97,0.13,0.13,1.56,0.0,0.06,1.3
K. Jakubczyk,Arka Gdynia,Poland,21.0,Poland,unknown,2687,0,41.68,2.28,0.23,0.2,0.84,0.07,0.06,3.18
S. Fumen Michael,Vendsyssel,Denmark III,19.0,"Nigeria, Denmark",,920,0,41.63,5.87,0.2,0.39,0.68,0.0,0.02,1.66
E. Patut,Mariehamn,Finland,22.0,Finland,right,701,50000,41.26,4.62,0.26,0.26,0.51,0.13,0.08,1.03
T. Lauritsen,Vejle,Denmark,21.0,Denmark,right,983,450000,41.16,5.58,0.27,0.09,1.19,0.0,0.05,1.65
E. Özkan,Östersunds FK,Sweden II,22.0,Sweden,right,529,125000,40.73,3.91,0.68,0.0,1.7,0.0,0.08,0.51
L. Privošnik,Dravinja,Slovenia II,23.0,Slovenia,,1792,0,40.18,5.07,0.2,0.6,1.05,0.0,0.08,0.7
V. Kabzinski,Łódzki KS II,Poland III,19.0,Poland,,1652,0,39.96,4.79,0.22,0.65,0.6,0.11,0.03,0.87
T. Olesen,Næstved,Denmark III,20.0,Denmark,,1242,0,39.79,2.83,0.51,0.0,1.3,0.0,0.16,1.52
H. Bruseth,Kristiansund,Norway,22.0,Norway,left,775,450000,38.94,5.57,0.23,0.58,0.46,0.0,0.04,0.93
B. Lelito,NKP Podhale,Poland III,21.0,Poland,unknown,987,0,38.86,2.19,0.09,0.36,1.55,0.09,0.16,1.0
S. Wagnsson,FBK Karlstad,Sweden III,23.0,Sweden,unknown,849,0,37.54,6.15,0.42,0.74,0.42,0.0,0.01,0.32
O. Højlund,Eintracht Frankfurt,Germany,21.0,Denmark,right,1209,700000,37.44,4.39,0.3,0.22,0.52,0.07,0.04,0.97
V. Johansson,Laholms FK,Sweden III,20.0,Sweden,,512,0,36.83,2.99,0.0,0.0,2.29,0.35,0.19,3.87
M. Belmaillah,Sundby,Denmark IV,20.0,Denmark,unknown,1561,0,36.61,4.67,0.23,0.12,0.86,0.12,0.09,0.75
W. Radoslaw Waldemar,Priboj,Serbia II,19.0,Poland,unknown,907,0,36.54,3.67,0.3,0.4,0.5,0.1,0.08,0.89
T. Lindgren,Umeå,Sweden III,19.0,Sweden,,521,0,36.09,5.87,0.52,0.17,0.52,0.0,0.01,1.55
T. Rengard,Junkeren/Mo,Norway III,21.0,Norway,unknown,469,0,35.65,3.84,0.0,0.19,2.49,0.0,0.19,3.07
V. Halvorsen,Sarpsborg 08,Norway,21.0,Norway,right,722,0,35.63,3.37,0.25,0.25,0.75,0.25,0.22,0.37
G. Nokkvason,Stjarnan,Iceland,22.0,Iceland,right,682,0,34.45,4.22,0.4,0.13,0.26,0.13,0.09,0.92
V. Janhunen,MP,Finland II,21.0,Finland,unknown,767,0,34.23,3.99,0.12,0.47,1.17,0.0,0.08,1.06
P. Grabowski,Łódzki KS II,Poland III,19.0,Poland,left,1325,0,33.84,4.14,0.07,0.14,1.49,0.14,0.12,1.02
T. Hansen,Hobro,Denmark II,20.0,Denmark,,1352,0,33.79,3.33,0.07,0.0,1.0,0.2,0.25,1.4
I. Kaczmarski,Internazionale II,Italy III - Part III,22.0,Poland,right,2391,300000,33.64,4.82,0.26,0.3,0.75,0.0,0.04,1.28
H. Norrlin,Enköping,Sweden III,19.0,Sweden,unknown,498,0,33.46,5.06,0.36,0.36,0.36,0.0,0.01,1.08
B. Laturnus,Örgryte,Sweden,22.0,"Canada, Sweden",unknown,765,0,33.38,6.0,0.12,0.59,0.12,0.0,0.0,1.29
S. Thorstensen,Ranheim,Norway II,20.0,Norway,right,423,0,33.0,6.38,0.85,0.0,0.43,0.0,0.02,0.21
J. Selnæs,Raufoss,Norway II,21.0,Norway,unknown,407,0,32.64,5.09,0.0,0.66,1.33,0.0,0.1,0.44
S. Praleika,Banga,Lithuania,18.0,Lithuania,unknown,1229,0,31.61,6.44,0.15,0.37,0.73,0.07,0.02,0.44
E. Forsberg,Oddevold,Sweden II,20.0,Sweden,,564,0,31.59,6.22,0.32,0.0,0.48,0.0,0.02,1.12
S. Jansson,Värnamo,Sweden II,20.0,Sweden,right,501,0,30.81,6.11,0.54,0.18,0.54,0.0,0.02,0.54
A. Jørgensen,Helsingør,Denmark III,19.0,Denmark,right,1134,0,30.68,4.76,0.24,0.32,0.48,0.0,0.02,1.11
G. Nyheim,Lillestrøm,Norway,20.0,Norway,right,550,0,30.44,2.78,0.16,0.0,1.15,0.33,0.14,0.82
G. Europaeus,Gnistan,Finland,21.0,Finland,,787,0,29.79,4.57,0.23,0.34,0.57,0.0,0.04,0.91
J. Vester,Sandefjord,Norway,21.0,Denmark,right,422,350000,28.43,3.63,0.0,0.0,2.13,0.21,0.54,0.43
N. Pavlovskij,Džiugas Telšiai,Lithuania,19.0,Lithuania,right,457,0,28.42,4.73,0.2,0.39,0.59,0.0,0.02,0.98
A. Machaal,SJK,Finland II,19.0,Finland,unknown,556,0,28.08,4.53,0.16,0.0,1.29,0.0,0.04,2.27
H. Haraldsson,ÍA,Iceland,20.0,Iceland,right,756,0,27.77,5.24,0.36,0.24,0.48,0.0,0.03,0.24
N. Johansson,Varbergs,Sweden II,22.0,Sweden,,650,0,26.83,6.23,0.55,0.0,0.42,0.0,0.05,0.55
V. Gromek,Stoke City U21,Poland III,21.0,Poland,,933,0,26.69,4.05,0.1,0.39,1.54,0.0,0.17,0.68
T. Olsen,Rana,Norway III,21.0,Norway,left,693,0,25.96,5.19,0.26,0.13,0.78,0.0,0.14,0.65
M. Bartosz,NKP Podhale,Poland III,21.0,Poland,unknown,1724,0,25.88,5.32,0.1,0.37,0.89,0.0,0.01,1.04
P. Mazur,Juventus Next Gen,Italy III - Part III,19.0,Poland,unknown,636,0,25.63,5.09,0.14,0.28,0.71,0.0,0.02,0.99
