Player,Team,_League,Age,Passport country,Foot,Minutes played,Market value,Eight Score,Progressive passes per 90,Key passes per 90,Through passes per 90,Shots per 90,Goals per 90,xG per 90,Progressive runs per 90
V. Byskov,Midtjylland,Denmark,21.0,Denmark,right,1257,450000,98.45,7.3,0.64,0.72,2.08,0.5,0.2,1.22
T. Jørgensen,Viborg,Denmark,20.0,Denmark,left,2758,0,98.41,7.83,0.65,0.69,1.96,0.13,0.17,3.39
T. Fredriksen,Eidsvold,Norway III,23.0,Norway,unknown,536,0,98.38,11.25,0.34,1.18,1.68,0.17,0.09,1.51
M. Munck,Vendsyssel,Denmark III,21.0,Denmark,right,1666,200000,97.87,7.51,0.22,0.7,2.11,0.27,0.23,3.19
R. Bąk,Chrobry Głogów,Poland III,21.0,Poland,right,1559,0,97.53,8.02,0.58,0.58,1.79,0.29,0.17,1.44
L. Thorell,Mjällby,Sweden,21.0,"Sweden, Poland",right,686,0,96.62,8.92,0.52,1.18,1.05,0.13,0.06,2.36
A. Wołczek,Sandecja Nowy Sącz,Poland III,20.0,Poland,left,2519,0,96.3,7.0,0.39,0.64,2.11,0.36,0.19,1.29
U. Seferi,Kvik Halden,Norway III,23.0,Norway,right,674,75000,94.9,6.28,0.67,0.4,1.74,0.27,0.21,4.54
S. Kądziołka,Stal Rzeszów,Poland II,20.0,Poland,right,1779,0,94.83,6.78,0.51,0.81,1.37,0.15,0.11,1.57
D. Kaygin,Ingolstadt,Germany III,22.0,"Germany, Sweden",right,1506,400000,94.73,4.9,0.6,0.78,2.09,0.42,0.21,2.15
L. Topalović,Internazionale II,Italy III - Part IV,20.0,Slovenia,right,2013,0,94.26,6.44,0.8,0.36,2.86,0.18,0.17,1.56
L. Kolstad,Eidsvold,Norway III,20.0,Norway,,575,0,91.74,12.99,0.16,0.94,2.19,0.0,0.11,2.97
I. Hjorteseth,Sotra,Norway III,22.0,Norway,left,628,250000,90.79,7.02,0.29,0.86,1.72,0.0,0.11,2.29
A. Przyborek,Lazio,Poland,19.0,Poland,right,1035,0,90.62,6.26,0.35,0.52,2.0,0.17,0.1,2.09
J. Bieroński,Tychy 71,Poland II,23.0,Poland,right,1508,150000,90.52,7.58,0.3,0.84,1.55,0.12,0.11,0.84
J. Meltofte Janssen,Nordsjælland U21,Denmark,19.0,Denmark,,1830,0,90.03,9.54,0.49,0.84,0.79,0.15,0.06,0.39
W. Wendt,Stabæk,Norway II,20.0,Norway,unknown,819,0,89.63,5.82,0.55,0.44,2.2,0.11,0.14,1.65
M. Kizyma,Podbeskidzie Bielsko-Biała,Poland III,23.0,Poland,right,2355,0,89.25,7.94,0.28,0.68,1.52,0.08,0.08,1.4
J. Becker,Sundby,Denmark IV,23.0,Denmark,unknown,2470,0,89.12,7.14,0.29,0.58,1.35,0.18,0.12,1.46
T. Nielsen,Helsingør,Denmark III,20.0,Denmark,,626,0,88.44,5.89,1.01,0.43,1.01,0.14,0.09,1.87
M. Skøtt,Roskilde,Denmark III,20.0,Denmark,right,1015,0,88.24,5.76,0.53,0.27,1.51,0.27,0.2,1.15
E. Chabo,Eskilstuna,Sweden III,23.0,Sweden,right,473,0,87.62,5.14,0.57,0.38,2.09,0.19,0.14,2.28
Y. Mokdad,Holbæk B&I,Denmark IV,22.0,"Denmark, Algeria",both,1140,0,87.46,6.47,0.24,0.32,1.74,0.16,0.13,2.68
P. Gogół,Zagłębie Sosnowiec,Poland III,23.0,Poland,,1932,0,86.87,4.89,0.75,0.28,1.96,0.05,0.17,2.47
M. Lynge,Brønshøj,Denmark IV,20.0,Denmark,,1798,0,86.37,7.51,0.2,0.5,1.1,0.15,0.13,0.95
F. Bzdyl,Žilina,Slovakia,18.0,Poland,right,1047,0,86.26,7.56,0.26,0.26,2.06,0.09,0.07,1.72
H. Aviander,GIF Sundsvall,Sweden II,21.0,Sweden,right,890,0,86.23,5.46,0.3,0.51,1.11,0.3,0.27,0.91
S. Bosnic,Trollhättan,Sweden III,21.0,"Bosnia and Herzegovina, Sweden",left,562,0,86.01,8.97,0.32,0.96,1.28,0.0,0.05,1.6
M. Breznik,Malženice,Slovakia II,22.0,Slovenia,left,1828,150000,85.08,7.73,0.49,1.38,0.59,0.1,0.04,1.67
L. Remmem,Haugesund,Norway II,20.0,Norway,,769,0,85.07,3.51,0.82,0.0,2.57,0.35,0.34,3.51
V. Møller,AaB,Denmark II,19.0,Denmark,unknown,1456,0,84.95,4.82,0.62,0.19,1.55,0.25,0.25,1.48
D. Makuch,Unia Skierniewice,Poland III,23.0,Poland,,2655,0,84.9,7.86,0.2,0.88,1.76,0.07,0.12,0.68
H. Melland,Aalesund,Norway,21.0,Norway,right,468,0,84.52,3.85,0.58,0.38,2.5,0.58,0.49,1.35
O. Amby,Skive,Denmark III,21.0,Denmark,,2258,100000,83.98,10.48,0.24,1.16,1.32,0.0,0.04,1.55
H. Noori,Enköping,Sweden III,22.0,Sweden,unknown,713,0,83.88,5.68,0.0,0.5,1.39,0.38,0.23,2.9
R. Štorman,Karviná,Czech,21.0,Slovenia,right,1707,0,83.51,5.54,0.42,0.37,1.63,0.26,0.11,1.21
D. Stalmach,Magdeburg,Germany II,20.0,Poland,right,1116,0,83.22,4.92,0.24,0.65,1.53,0.16,0.13,1.45
R. Thorkelsson,GAIS,Sweden,20.0,Iceland,right,758,0,83.09,4.04,0.47,0.36,2.14,0.24,0.23,2.26
B. Tobiassen,Stabæk,Norway II,19.0,Norway,right,669,0,82.92,4.71,1.35,0.27,2.56,0.13,0.32,1.08
K. Fietz,Olimpia Grudziądz,Poland III,22.0,Poland,right,1186,0,82.78,4.48,0.38,0.53,1.14,0.15,0.1,1.82
S. Agaptšev,Trans,Estonia,19.0,Estonia,unknown,967,0,82.68,6.14,0.47,0.37,1.4,0.19,0.18,0.74
M. Saaby,Kolding IF,Denmark II,23.0,Denmark,,2280,0,81.72,8.37,0.32,0.47,0.71,0.04,0.04,1.93
I. Ellbring,Trelleborg,Sweden III,21.0,Sweden,,512,0,81.69,3.16,0.53,0.35,1.58,0.18,0.23,1.41
K. Marrah,Hammarby Talang,Sweden III,19.0,Sweden,unknown,727,0,81.38,6.44,0.0,0.25,2.6,0.25,0.26,3.84
M. Ritari,Rosengård,Sweden III,20.0,Finland,,701,0,80.96,9.63,0.26,0.64,1.41,0.0,0.04,1.28
S. Auklend,Bodø / Glimt,Norway,22.0,Norway,right,687,0,80.93,4.85,0.26,0.26,1.7,0.13,0.37,2.88
M. Bomholt,Rosenborg,Norway,20.0,Denmark,,857,0,79.07,4.1,0.53,0.42,1.58,0.11,0.1,1.79
S. Nordbø,Jerv,Norway III,22.0,Norway,left,721,0,78.86,7.24,0.12,1.25,1.5,0.12,0.04,1.0
