Player,Team,League,Age,Passport country,Foot,Minutes played,Market value,Six Score,Progressive passes per 90,"Accurate passes, %",Interceptions per 90,PAdj Interceptions,Successful defensive actions per 90,"Defensive duels won, %","Aerial duels won, %"
D. Jambor,Chrudim,Czech II,23.0,Czech Republic,right,2220,175000,96.08,7.5,84.0,5.11,6.81,12.57,66.94,49.33
O. Kričfaluši,Baník Ostrava,Czech,22.0,Czech Republic,right,2478,0,94.47,11.26,78.21,4.76,7.08,9.73,65.55,56.0
M. Chvalník,Slovan Liberec U17,Czech U17,16.0,Czech Republic,,505,0,94.07,7.49,76.03,5.17,6.04,16.04,78.38,50.0
D. Barčot,Slavia Praha U19,Czech U19,17.0,Czech Republic,unknown,2015,0,89.31,5.94,83.13,5.05,7.65,11.21,67.01,59.57
A. Dobeš,Slovan Liberec U19,Czech U19,18.0,Czech Republic,unknown,1762,0,87.32,10.42,69.88,6.23,7.2,12.05,59.34,42.5
J. Červinka,Slovácko U19,Czech U17,17.0,Slovakia,unknown,781,0,86.64,7.61,70.94,4.96,5.89,12.68,64.36,60.0
P. Siegl,Sigma Olomouc II,Czech U19,18.0,Czech Republic,right,1768,0,86.53,7.43,71.84,6.21,7.69,10.74,61.72,64.71
M. Marko,Slovan Bratislava II,Slovakia II,21.0,Slovakia,right,1191,0,84.04,6.27,78.37,5.21,6.39,10.81,67.62,58.97
A. Thiele,Hradec Králové U19,Czech U19,17.0,Czech Republic,unknown,1424,0,78.86,5.69,81.57,4.99,6.73,11.0,66.94,47.5
K. Karban,Příbram,Czech II,21.0,Czech Republic,unknown,558,0,78.43,6.45,73.84,5.97,7.99,11.94,63.16,47.37
P. Řezníček,Zlín U19,Czech U19,19.0,Czech Republic,unknown,410,0,74.99,4.61,79.86,6.8,8.61,17.56,68.97,40.0
O. Čáslavka,Pardubice U19,Czech U19,18.0,Czech Republic,unknown,2049,0,73.99,6.98,76.68,4.26,5.73,10.94,69.27,43.94
R. Koňařík,Zlín U19,Czech U19,19.0,Czech Republic,unknown,1886,0,69.09,7.21,70.09,4.87,6.67,11.93,59.91,45.45
L. Petr,MFK Karviná U17,Czech U17,17.0,Czech Republic,unknown,2103,0,69.04,7.28,82.67,3.34,4.35,9.16,70.66,47.62
M. Luzny,Zbrojovka Brno U19,Czech U19,16.0,Czech Republic,right,1638,0,67.77,9.67,77.4,3.79,5.93,9.78,57.4,45.45
O. Rittenauer,Mladá Boleslav U19,Czech U19,19.0,Czech Republic,unknown,2027,0,66.21,4.88,83.98,5.02,7.11,11.81,65.28,23.08
T. Škubala,Baník Ostrava U19,Czech U19,18.0,Czech Republic,unknown,1275,0,65.47,5.22,78.44,4.73,6.18,10.16,71.96,51.35
M. Szolgai,Szentlőrinc SE,Hungary II,22.0,Slovakia,right,2109,0,64.86,7.13,80.53,3.84,5.3,8.24,63.83,65.33
V. Böhm,Viktoria Plzeň U17,Czech U17,16.0,Czech Republic,unknown,591,0,64.33,5.79,81.85,3.96,4.97,11.73,67.61,44.44
M. Cerveny,České Budějovice U17,Czech U17,16.0,Czech Republic,unknown,450,0,61.37,5.2,84.67,5.0,5.47,13.4,60.87,45.45
P. Švestka,Příbram,Czech II,23.0,Czech Republic,,2249,125000,57.77,4.89,86.14,4.43,5.65,9.79,61.39,53.42
A. Pesek,Vysočina Jihlava,Czech II,23.0,Czech Republic,,2102,0,56.89,6.98,85.33,3.55,5.21,8.01,66.43,33.33
S. Kop,Příbram,Czech II,20.0,Czech Republic,unknown,939,0,56.4,4.94,77.87,5.15,5.9,9.24,69.64,48.15
T. Vacek,Hradec Králové U19,Czech U19,18.0,Czech Republic,,471,0,55.31,4.01,86.06,4.2,5.79,10.13,64.29,41.67
D. Samek,Artis Brno,Czech II,22.0,Czech Republic,right,1729,0,51.1,8.64,80.13,2.93,3.97,7.84,64.44,53.33
T. Rigo,Stoke City,England II,23.0,"Slovakia, Czech Republic",right,1861,0,49.93,5.9,80.14,4.21,6.32,7.16,68.18,51.67
D. Kuder,MFK Karviná U17,Czech U17,16.0,Czech Republic,unknown,2230,0,48.61,5.57,78.26,3.59,4.64,9.52,68.16,53.85
M. Tobiáš,Dukla Praha U17,Czech U17,16.0,Czech Republic,unknown,1713,0,48.29,5.2,81.82,3.2,4.03,11.72,75.48,50.94
S. Mišík,Považská Bystrica,Slovakia II,21.0,Slovakia,unknown,838,0,47.74,3.87,79.58,4.94,5.7,11.38,63.74,46.67
N. Tvercovici,Slovan Liberec U19,Czech U19,18.0,Czech Republic,unknown,960,0,46.07,9.75,58.65,3.75,4.12,11.34,58.87,23.53
A. Van Geet,Slovan Liberec U19,Czech U17,16.0,Czech Republic,unknown,445,0,42.97,5.06,76.54,4.04,4.92,12.34,60.94,50.0
