Player,Team,League,Age,Passport country,Foot,Minutes played,Market value,Six Score,Progressive passes per 90,"Accurate passes, %",Interceptions per 90,PAdj Interceptions,Successful defensive actions per 90,"Defensive duels won, %","Aerial duels won, %"
Š. Černý,Příbram,Czech II,19.0,Czech Republic,,1027,0,42.18,6.87,81.26,3.0,4.04,7.74,69.57,42.11
S. Vybiral,Sigma Olomouc U17,Czech U17,16.0,Czech Republic,,1728,0,41.78,4.95,78.29,4.11,5.29,10.73,64.25,40.74
M. Kučák,Karviná U19,Czech U19,19.0,Czech Republic,,1772,0,40.88,5.89,79.19,3.66,4.72,11.07,59.29,53.19
P. Mašek,Viktoria Plzeň U17,Czech U17,17.0,Czech Republic,unknown,623,0,40.59,5.92,79.61,2.74,3.75,10.11,72.06,45.83
L. Michalik,FK Mladá Boleslav U17,Czech U17,17.0,Czech Republic,,619,0,40.57,5.67,62.33,4.36,4.95,11.63,59.76,47.37
D. Kastanek,Opava,Czech II,23.0,Czech Republic,,1478,0,38.99,4.81,82.67,3.9,5.71,7.98,73.03,41.18
N. Jadrnicek,Sigma Olomouc U19,Czech U19,18.0,Czech Republic,unknown,1339,0,32.12,5.38,75.46,3.83,4.61,9.34,62.62,51.67
D. Urban,Slávia TU Košice,Slovakia II,21.0,Slovakia,unknown,454,0,30.75,7.73,81.02,3.77,5.18,7.14,50.0,40.74
A. Durdik,Petrzalka U19,Slovakia II,18.0,Slovakia,,460,0,28.0,8.22,82.7,3.33,4.4,5.87,59.09,33.33
M. Novak,Opava,Czech II,23.0,Slovakia,,2484,0,27.55,4.46,78.69,3.7,5.64,8.66,64.65,47.89
V. Vaclav,FC Hradec Králové U17,Czech U17,17.0,Czech Republic,unknown,482,0,27.2,5.98,76.11,2.99,3.93,8.78,60.87,100.0
V. Stránský,Slovan Liberec,Czech,23.0,Czech Republic,right,2863,200000,22.94,6.29,74.57,3.27,4.9,6.85,64.43,53.57
V. Matyáš,FK Mladá Boleslav U17,Czech U17,16.0,Czech Republic,,905,0,20.56,4.48,74.18,3.78,4.37,10.04,63.27,40.0
J. Křišťan,Karviná,Czech,23.0,Czech Republic,left,1283,200000,17.76,4.84,91.22,2.53,4.15,4.84,65.96,54.05
J. Zíka,Mladá Boleslav,Czech,20.0,Czech Republic,unknown,1377,0,16.41,6.01,85.57,1.96,2.92,6.6,64.52,39.13
B. Kovács,Fehérvár,Hungary II,22.0,"Hungary, Slovakia",,812,0,12.99,4.54,75.19,3.33,4.0,8.87,65.71,26.67
P. Kacor,Karviná II,Czech,19.0,Czech Republic,unknown,930,0,12.41,5.42,78.76,2.9,4.79,7.55,64.18,20.83
S. Míšek,Pardubice,Czech,20.0,Czech Republic,right,1030,0,11.25,4.28,77.54,3.58,4.51,6.73,65.38,55.0
R. Kovárnik,Baník Ostrava U17,Czech U17,17.0,Czech Republic,unknown,505,0,9.39,6.59,77.42,1.25,1.72,8.38,56.06,0.0
V. Diego,Dukla Praha,Czech,19.0,Czech Republic,,737,0,6.51,3.42,80.59,2.32,3.22,8.3,65.15,32.35
D. Pech,Young Boys,Switzerland,19.0,Czech Republic,,1079,0,6.32,4.42,87.2,2.34,3.49,5.42,63.79,0.0
M. Vopršal,Vysočina Jihlava U19,Czech U19,18.0,Czech Republic,,1690,0,6.09,6.71,64.17,1.49,1.75,6.87,62.18,28.57
M. Halda,Chrudim,Czech II,20.0,Czech Republic,unknown,790,0,5.66,3.65,82.84,2.51,3.11,6.72,70.0,33.33
C. Adam,MFK Karviná U17,Czech U17,17.0,Czech Republic,unknown,932,0,4.21,3.77,80.26,2.32,2.96,6.66,70.97,25.0
E. Pernica,Zbrojovka Brno U17,Czech U19,17.0,Czech Republic,unknown,575,0,2.88,4.38,74.42,1.88,2.67,6.42,69.23,25.0
A. Honajzer,Hoffenheim II,Germany III,20.0,Czech Republic,,549,0,1.51,2.79,80.24,3.28,4.76,6.56,52.63,29.17
A. Mezník,Zbrojovka Brno U19,Czech U19,19.0,Czech Republic,,672,0,1.01,3.88,69.87,2.01,2.87,6.16,60.0,52.63
F. Šancl,Baník Ostrava,Czech,20.0,Czech Republic,,949,0,0.34,5.41,77.74,1.8,2.66,3.79,46.67,25.0
