Player,Team,_League,Age,Position,Passport country,Foot,Height,Minutes played,Matches played,Goals,Assists,xG,xA,Progressive passes per 90,"Accurate progressive passes, %",Key passes per 90,Passes per 90,"Accurate passes, %","Duels won, %",Interceptions per 90
J. Murgaš,Ružomberok,Slovakia,22.0,"LCMF, LDMF, RCMF",Slovakia,right,178,616,10,1,0,0.8,0.35,5.55,63.16,0.29,34.92,77.82,41.61,3.94
M. Kušnír,Inter Bratislava,Slovakia II,22.0,"RCMF, LDMF",Slovakia,unknown,0,2301,30,5,6,3.69,2.86,5.4,63.77,0.27,30.04,74.09,51.81,2.58
M. Náprstek,Teplice,Czech,22.0,"LCMF, RCMF",Czech Republic,left,184,1292,24,1,0,1.0,0.8,3.97,59.65,0.14,20.76,69.8,45.14,2.44
P. Vydra,Sparta Praha,Czech,22.0,"LCMF, RCB, RCMF",Czech Republic,right,190,1536,21,3,4,2.37,1.06,7.15,71.31,0.47,41.13,84.33,46.44,2.93
V. Chyla,Podbrezová,Slovakia,22.0,"LCMF, RCMF",Slovakia,,183,1857,32,2,0,2.45,0.37,5.72,70.34,0.19,33.83,79.08,48.34,4.56
A. Sojka,Viktoria Plzeň,Czech,23.0,"LCMF, LWB",Czech Republic,left,0,2154,33,3,2,3.37,1.71,6.14,67.35,0.25,36.23,79.58,47.83,2.92
D. Holaň,Baník Ostrava II,Czech II,23.0,"LCMF, DMF",Czech Republic,,0,2141,26,4,0,1.86,3.3,7.23,72.09,0.29,37.83,76.44,56.32,4.16
M. Domik,Slávia TU Košice,Slovakia II,23.0,"LCMF, RCMF, AMF",Slovakia,,0,681,13,0,1,0.09,0.64,4.89,56.76,0.4,35.29,77.9,44.72,2.91
M. Šviderský,Slovácko,Czech,23.0,"RCMF, RDMF, LCMF",Slovakia,left,184,1219,20,0,0,0.54,0.77,5.32,65.28,0.3,31.45,76.76,51.26,4.58
P. Kulíšek,Hanácká,Czech II,23.0,"RCMF, DMF, LCMF",Czech Republic,right,188,1622,25,0,0,1.24,0.37,5.55,62.0,0.06,28.85,80.38,57.72,3.44
S. Varga,Šamorín,Slovakia II,23.0,"RCMF, RDMF","Slovakia, Hungary",unknown,0,1715,27,4,1,2.09,2.1,6.66,62.2,0.47,33.59,73.75,53.43,3.94
