Player,Team,League,Age,Passport country,Minutes played,Grade,RedBullScore,Prog Run/90,Def Duel %,Interceptions,Dribbles/90,Drib Succ %,Aerial %
H. Sochurek,Sparta Praha U19,Czech,17.0,Czech Republic,539,TOP TARGET,100.0,3.51,70.0,2.84,2.5,66.67,100.0
Š. Sedlák,FC Vysočina Jihlava U17,Czech U17,16.0,Czech Republic,907,TOP TARGET,99.97,2.18,64.84,3.97,3.18,59.38,50.0
C. Ogbu Emmanuel,Baník Ostrava II,Czech II,20.0,Czech Republic,673,TOP TARGET,99.96,2.27,76.19,3.61,2.67,70.0,43.9
I. Hryhoruk,České Budějovice U19,Czech U19,18.0,Czech Republic,524,TOP TARGET,99.94,2.06,60.0,4.12,3.78,81.82,66.67
H. Sochurek,Sparta Praha U19,Czech U19,17.0,Czech Republic,547,TOP TARGET,99.93,6.91,75.86,2.96,5.43,66.67,25.0
J. Zadrobílek,Sparta Praha U19,Czech U17,16.0,Czech Republic,1063,TOP TARGET,99.88,1.69,68.75,2.96,2.71,62.5,73.68
F. Bzdyl,Žilina,Slovakia,18.0,Poland,1047,TOP TARGET,99.84,1.72,72.31,2.66,3.27,63.16,57.89
J. Base,FC Hradec Králové U17,Czech U17,17.0,Czech Republic,1277,TOP TARGET,99.79,1.9,69.62,2.89,3.45,53.06,57.89
S. Mladen,Dukla Praha U17,Czech U17,16.0,Czech Republic,994,TOP TARGET,99.76,3.17,68.89,3.17,6.88,51.32,32.26
F. Rajcan,,Czech U19,17.0,Slovakia,742,TOP TARGET,99.69,1.94,73.33,4.37,1.33,63.64,36.36
R. Filip,Baník Ostrava U19,Czech U19,17.0,Slovakia,742,TOP TARGET,99.69,1.94,73.33,4.37,1.33,63.64,36.36
J. Zima,Pardubice U19,Czech U19,18.0,Czech Republic,788,TOP TARGET,99.61,1.71,60.0,3.88,2.86,72.0,66.67
F. Rada,Viktoria Plzeň U17,Czech U17,16.0,Czech Republic,719,TOP TARGET,99.58,1.13,74.71,4.13,1.75,64.29,56.25
D. Ledvinka,Dukla Praha U19,Czech U19,17.0,Czech Republic,528,TOP TARGET,99.57,2.05,62.16,3.92,3.92,43.48,75.0
R. Horák,Slovácko,Czech II,21.0,Czech Republic,1140,TOP TARGET,99.52,1.58,68.48,4.97,1.97,64.0,52.94
