Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Six Score,Progressive passes per 90,"Accurate passes, %",Interceptions per 90,PAdj Interceptions,Successful defensive actions per 90,"Defensive duels won, %","Aerial duels won, %"
D. Jambor,Chrudim,Czech II,Senior First Team,23.0,Czech Republic,right,2220,175000,96.08,7.5,84.0,5.11,6.81,12.57,66.94,49.33
O. Kričfaluši,Baník Ostrava,Czech,Senior First Team,22.0,Czech Republic,right,2478,0,94.47,11.26,78.21,4.76,7.08,9.73,65.55,56.0
Y. Kambi,Pohronie,Slovakia II,Senior First Team,20.0,Gambia,,512,0,78.78,5.98,85.96,4.22,6.73,8.26,66.67,78.79
K. Karban,Příbram,Czech II,Senior First Team,21.0,Czech Republic,unknown,558,0,78.43,6.45,73.84,5.97,7.99,11.94,63.16,47.37
C. Boah,Petržalka Akadémia,Slovakia II,Senior First Team,20.0,Ghana,right,462,0,67.8,7.79,79.35,4.29,6.88,8.96,50.0,56.82
Miki García,Inter Bratislava,Slovakia II,Senior First Team,23.0,Spain,unknown,1231,0,58.35,5.85,71.68,4.31,6.1,11.84,63.04,48.98
P. Švestka,Příbram,Czech II,Senior First Team,23.0,Czech Republic,,2249,125000,57.77,4.89,86.14,4.43,5.65,9.79,61.39,53.42
F. Krawczyk,Stará Ľubovňa,Slovakia II,Senior First Team,19.0,Poland,,1789,0,57.45,5.23,77.54,5.89,7.85,11.67,58.05,41.82
A. Pesek,Vysočina Jihlava,Czech II,Senior First Team,23.0,Czech Republic,,2102,0,56.89,6.98,85.33,3.55,5.21,8.01,66.43,33.33
S. Kop,Příbram,Czech II,Senior First Team,20.0,Czech Republic,unknown,939,0,56.4,4.94,77.87,5.15,5.9,9.24,69.64,48.15
D. Samek,Artis Brno,Czech II,Senior First Team,22.0,Czech Republic,right,1729,0,51.1,8.64,80.13,2.93,3.97,7.84,64.44,53.33
S. Mišík,Považská Bystrica,Slovakia II,Senior First Team,21.0,Slovakia,unknown,838,0,47.74,3.87,79.58,4.94,5.7,11.38,63.74,46.67
Adam Yakubu,LNZ Cherkasy,Slovakia,Senior First Team,21.0,Nigeria,right,1422,0,44.15,5.57,88.04,2.72,4.36,7.09,66.67,71.19
Š. Černý,Příbram,Czech II,Senior First Team,19.0,Czech Republic,,1027,0,42.18,6.87,81.26,3.0,4.04,7.74,69.57,42.11
D. Kastanek,Opava,Czech II,Senior First Team,23.0,Czech Republic,,1478,0,38.99,4.81,82.67,3.9,5.71,7.98,73.03,41.18
