Player,Team,Position,Age,File
B. Balaj,Vllaznia Shkodër,CF,35.0,Albania.xlsx
G. Selmani,Teuta Durrës,GK,28.0,Albania.xlsx
L. Pöhls,Vllaznia Shkodër,GK,29.0,Albania.xlsx
A. Teqja,Dinamo City,GK,31.0,Albania.xlsx
I. Aleksovski,Flamurtari Vlorë,GK,31.0,Albania.xlsx
A. Marku,Bylis Ballsh,RCB,21.0,Albania.xlsx
F. Përgjoni,Teuta Durrës,LB,28.0,Albania.xlsx
X. Maçolli,Teuta Durrës,"RCMF, RDMF, LCMF",24.0,Albania.xlsx
I. Kasalla,Vora,"AMF, LAMF, CF",23.0,Albania.xlsx
Fernando Medeiros,Egnatia Rrogozhinë,"LDMF, LCMF",30.0,Albania.xlsx
L. Vera,Tirana,"RB, LB",24.0,Albania.xlsx
E. Musta,AF Elbasani,LB,34.0,Albania.xlsx
S. Repaj,Vora,LCB,25.0,Albania.xlsx
A. Toli,Teuta Durrës,RB,28.0,Albania.xlsx
E. Maksuti,Flamurtari Vlorë,"CF, LWF",22.0,Albania.xlsx
P. Qirko,Partizani Tirana,GK,26.0,Albania.xlsx
S. Kallaku,Vllaznia Shkodër,"LCMF, AMF",28.0,Albania.xlsx
E. Gjini,Vllaznia Shkodër,"CB, RCB",23.0,Albania.xlsx
M. Dajsinani,Egnatia Rrogozhinë,GK,27.0,Albania.xlsx
E. Gurishta,Vllaznia Shkodër,"RCB, RB, LCB",31.0,Albania.xlsx
D. Bregu,Dinamo City,"AMF, LW, CF",30.0,Albania.xlsx
J. Vrapi,Vora,LB,27.0,Albania.xlsx
V. Zogos,Teuta Durrës,"RCB, LCB",26.0,Albania.xlsx
S. Tabekou,Tirana,"CF, RAMF, RW",29.0,Albania.xlsx
Andrey Yago,Vllaznia Shkodër,"LWB, LB",28.0,Albania.xlsx
E. Mala,Vllaznia Shkodër,"RCMF, RWB, CF",27.0,Albania.xlsx
A. Ibrahim,AF Elbasani,"RDMF, RCMF",28.0,Albania.xlsx
D. Shehi,Vora,RCB,29.0,Albania.xlsx
A. Krymi,Vllaznia Shkodër,DMF,30.0,Albania.xlsx
M. Boci,Teuta Durrës,"LW, LAMF",22.0,Albania.xlsx
A. Xhemajli,Egnatia Rrogozhinë,LCB,28.0,Albania.xlsx
A. Bytyçi,Partizani Tirana,"LCB, RCB",25.0,Albania.xlsx
A. Aleksi,Egnatia Rrogozhinë,"DMF, RDMF, RCMF",33.0,Albania.xlsx
Rafael Freitas,Tirana,"LCMF, RDMF, RCMF",26.0,Albania.xlsx
B. Lila,AF Elbasani,RB,25.0,Albania.xlsx
D. Atanaskoski,Partizani Tirana,LB,29.0,Albania.xlsx
A. Pergjoni,Bylis Ballsh,"RCMF, RDMF",23.0,Albania.xlsx
L. Trashi,Flamurtari Vlorë,"LB, LWB",33.0,Albania.xlsx
A. Kasa,AF Elbasani,"LCB, LDMF",29.0,Albania.xlsx
Eric Veiga,Flamurtari Vlorë,"LCB, LB",29.0,Albania.xlsx
B. Dita,Dinamo City,"RCB, CB",33.0,Albania.xlsx
I. Manellari,AF Elbasani,"LDMF, LCMF, DMF",28.0,Albania.xlsx
P. Bardhi,Vora,"RAMF, RB, RW",28.0,Albania.xlsx
M. Janáček,AF Elbasani,GK,25.0,Albania.xlsx
O. Adeduro,Bylis Ballsh,"LCMF, LDMF",19.0,Albania.xlsx
M. Barjamaj,Vora,"AMF, RCMF",27.0,Albania.xlsx
F. Perndreca,Bylis Ballsh,"LB, LCB",19.0,Albania.xlsx
André Teixeira,Dinamo City,"LCB, CB, RCB",32.0,Albania.xlsx
Tiago Nani,Dinamo City,"RW, RWB, RAMF",28.0,Albania.xlsx
R. Ismaili,Partizani Tirana,"DMF, RDMF, LDMF",23.0,Albania.xlsx
L. Vila,Dinamo City,"CF, LAMF",27.0,Albania.xlsx
R. Human,Partizani Tirana,"AMF, RCMF",25.0,Albania.xlsx
M. Bajrami,Vllaznia Shkodër,LCB,24.0,Albania.xlsx
S. Olberkis,AF Elbasani,RCB,29.0,Albania.xlsx
K. Loukili,AF Elbasani,"LW, LAMF, AMF",29.0,Albania.xlsx
B. Tsague,AF Elbasani,CF,26.0,Albania.xlsx
L. Squadrone,Flamurtari Vlorë,"RCB, LCB",26.0,Albania.xlsx
M. Ayodeji,Dinamo City,"AMF, RCMF, RW",22.0,Albania.xlsx
F. Neziri,Dinamo City,"LB, LWB",24.0,Albania.xlsx
V. Isgandarli,Partizani Tirana,"LW, LAMF, LWF",30.0,Albania.xlsx
A. Fangaj,Egnatia Rrogozhinë,"RB, RCB",28.0,Albania.xlsx
B. Diawara,Flamurtari Vlorë,"RCMF, DMF",23.0,Albania.xlsx
X. Lajthia,AF Elbasani,"LAMF, RAMF, RB",27.0,Albania.xlsx
D. Chantakias,Flamurtari Vlorë,"CB, RCB",31.0,Albania.xlsx
B. Kotobelli,Teuta Durrës,LCB,33.0,Albania.xlsx
A. Poci,Egnatia Rrogozhinë,"RCB, CB",27.0,Albania.xlsx
H. Zuna,Vora,RB,22.0,Albania.xlsx
R. Haxhiu,Tirana,"RB, RW, LB",27.0,Albania.xlsx
A. Tafa,Tirana,GK,25.0,Albania.xlsx
E. Arifi,Teuta Durrës,"CF, RAMF",19.0,Albania.xlsx
D. Wotlai,Teuta Durrës,"LCMF, RCMF, LDMF",23.0,Albania.xlsx
K. Mouctar,Bylis Ballsh,"LW, LAMF, LWF",21.0,Albania.xlsx
I. Diallo,AF Elbasani,"RAMF, RW, LW",22.0,Albania.xlsx
S. Sembene,Partizani Tirana,"RCB, LCB, CB",24.0,Albania.xlsx
A. Albanese,Egnatia Rrogozhinë,"LAMF, LWF, LW",26.0,Albania.xlsx
Guillem Jaime,Egnatia Rrogozhinë,"RB, RWB, LB",27.0,Albania.xlsx
A. Kryeziu,Egnatia Rrogozhinë,"RDMF, DMF, RCMF",24.0,Albania.xlsx
E. Azemović,AF Elbasani,"RCB, LCB",29.0,Albania.xlsx
K. Lleshi,Tirana,"RCB, LCB",26.0,Albania.xlsx
E. Sota,Egnatia Rrogozhinë,"RCB, RB",28.0,Albania.xlsx
I. Mustapha,Dinamo City,CF,29.0,Albania.xlsx
L. Kastrati,Vllaznia Shkodër,"RWB, RB, RAMF",27.0,Albania.xlsx
S. Guindo,Dinamo City,CF,29.0,Albania.xlsx
N. Burić,Egnatia Rrogozhinë,CF,29.0,Albania.xlsx
V. Murataj,Partizani Tirana,"DMF, RCMF, RDMF",29.0,Albania.xlsx
Luis Felipe,Vora,CF,25.0,Albania.xlsx
F. Ruçi,Egnatia Rrogozhinë,"AMF, RCMF",24.0,Albania.xlsx
A. Peralta,Flamurtari Vlorë,"LB, LW",29.0,Albania.xlsx
R. Harizaj,Vora,GK,27.0,Albania.xlsx
N. Aliji,Dinamo City,LCB,32.0,Albania.xlsx
D. Daka,Vora,"RAMF, RW, RWF",22.0,Albania.xlsx
А. Jazxhi,Teuta Durrës,"RCB, LCB",24.0,Albania.xlsx
C. Aboubacar,Bylis Ballsh,"RB, RW, RWF",24.0,Albania.xlsx
B. Lulaj,AF Elbasani,"LCB, RB",31.0,Albania.xlsx
K. Qefalija,Dinamo City,"RCMF, LCMF, DMF",22.0,Albania.xlsx
K. Qato,Vllaznia Shkodër,"RCMF, AMF",28.0,Albania.xlsx
E. Murataj,Vllaznia Shkodër,"CF, AMF",23.0,Albania.xlsx
K. Selmani,Egnatia Rrogozhinë,"RAMF, RW",26.0,Albania.xlsx
Z. Aliyev,Egnatia Rrogozhinë,"LB, LCB",25.0,Albania.xlsx
T. Todoroski,Flamurtari Vlorë,"RB, RWB",27.0,Albania.xlsx
B. Goudiaby,Dinamo City,"DMF, RCMF, RDMF",24.0,Albania.xlsx
P. Myslovič,Tirana,"LDMF, RCMF",24.0,Albania.xlsx
J. Vachoux,,GK,31.0,Albania.xlsx
K. Dalipi,Vora,"RDMF, DMF, RCMF",25.0,Albania.xlsx
O. Kané,Bylis Ballsh,"RB, DMF",24.0,Albania.xlsx
E. Qardaku,Dinamo City,"LCMF, AMF",25.0,Albania.xlsx
H. Marku,Flamurtari Vlorë,"DMF, LCMF",29.0,Albania.xlsx
S. Ruçi,Vora,GK,33.0,Albania.xlsx
Basilio Ndong,Tirana,LB,27.0,Albania.xlsx
R. Toma,Partizani Tirana,CF,22.0,Albania.xlsx
H. Ramani,Flamurtari Vlorë,LCMF,23.0,Albania.xlsx
M. Ofori,Bylis Ballsh,"DMF, RDMF",21.0,Albania.xlsx
A. Janjeva,Partizani Tirana,"RCB, RB, LCB",23.0,Albania.xlsx
E. Ndreca,Yelimay Semey,LB,31.0,Albania.xlsx
Bruno,Bylis Ballsh,LCB,25.0,Albania.xlsx
E. Fazlagić,Vora,"DMF, LDMF, LCMF",26.0,Albania.xlsx
A. Tafas,Tirana,GK,25.0,Albania.xlsx
E. Vila,Teuta Durrës,"RB, RAMF",38.0,Albania.xlsx
Q. Ismajli,Teuta Durrës,"LCB, LAMF, LCMF",26.0,Albania.xlsx
Walisson,Bylis Ballsh,"CF, RAMF, RW",28.0,Albania.xlsx
D. Fadairo,Partizani Tirana,"RW, RAMF",25.0,Albania.xlsx
Zé Gomes,AF Elbasani,"CF, AMF",27.0,Albania.xlsx
A. Oshafi,Flamurtari Vlorë,CF,26.0,Albania.xlsx
A. Doumbia,Partizani Tirana,"LCMF, LDMF",21.0,Albania.xlsx
G. Valerianos,PAE Chania,"LCB, LB",34.0,Albania.xlsx
S. Bakayoko,Egnatia Rrogozhinë,CF,24.0,Albania.xlsx
C. Núñez,Flamurtari Vlorë,"RCMF, DMF",28.0,Albania.xlsx
D. Halili,Tirana,"RCB, CB, LCB",22.0,Albania.xlsx
Lorran,Dinamo City,"LB, LWB",30.0,Albania.xlsx
S. Vogli,Tirana,"RCMF, CF",18.0,Albania.xlsx
I. Gruda,Egnatia Rrogozhinë,"CF, RAMF, LWF",26.0,Albania.xlsx
L. Beqja,Dinamo City,"RCB, DMF, CB",24.0,Albania.xlsx
K. Qose,AF Elbasani,"AMF, CF, LCMF",30.0,Albania.xlsx
C. Ememe,Flamurtari Vlorë,"RWF, CF, RCMF",25.0,Albania.xlsx
B. Berisha,Dinamo City,"CF, LWF, RWF",34.0,Albania.xlsx
D. Dimov,Bylis Ballsh,"LCB, CB",31.0,Albania.xlsx
V. Bekaj,Tirana,GK,28.0,Albania.xlsx
B. Maliqi,Dinamo City,RB,24.0,Albania.xlsx
J. Čeliković,Vllaznia Shkodër,RCB,27.0,Albania.xlsx
G. Pusi,Vllaznia Shkodër,"LCB, RCB, CB",24.0,Albania.xlsx
S. Sidibe,Partizani Tirana,"RAMF, RWF, RW",25.0,Albania.xlsx
A. Bintsouka,Flamurtari Vlorë,"CF, LWF, RAMF",23.0,Albania.xlsx
R. Ozols,Bylis Ballsh,GK,30.0,Albania.xlsx
A. Mehmeti,Partizani Tirana,"RCMF, AMF, LCMF",25.0,Albania.xlsx
A. Marku,Partizani Tirana,RB,25.0,Albania.xlsx
E. Sala,Vllaznia Shkodër,"RCMF, DMF",26.0,Albania.xlsx
O. Jürgens,Teuta Durrës,"CF, AMF",22.0,Albania.xlsx
P. Buxhelaj,Partizani Tirana,LB,23.0,Albania.xlsx
F. Bunjaku,AF Elbasani,"LAMF, RAMF, RW",22.0,Albania.xlsx
A. Krešić,Tirana,"LCB, CB, RCB",30.0,Albania.xlsx
X. Tabaku,Vora,"RB, RDMF, LDMF",30.0,Albania.xlsx
R. Xhixha,Tirana,"CF, LAMF, LW",27.0,Albania.xlsx
Y. Ismaili,Dinamo City,"RB, RWB, RCB",24.0,Albania.xlsx
M. Yahaya,Egnatia Rrogozhinë,"CF, LAMF",21.0,Albania.xlsx
M. Kola,Partizani Tirana,RB,24.0,Albania.xlsx
S. Geci,Vora,"LB, LAMF, LCMF",24.0,Albania.xlsx
B. Karrica,Vora,"LAMF, CF, LWF",25.0,Albania.xlsx
K. Kashari,Vora,"LCMF, DMF, LDMF",19.0,Albania.xlsx
K. Totoshi,AF Elbasani,GK,21.0,Albania.xlsx
Pedro Vieira,Bylis Ballsh,"CF, LW, LWF",24.0,Albania.xlsx
A. Bolzan,Flamurtari Vlorë,CF,21.0,Albania.xlsx
C. Prestige Ohaegbulam,Vora,"RCB, LCB, RB",22.0,Albania.xlsx
X. Skuka,Partizani Tirana,CF,27.0,Albania.xlsx
Z. Gomes,AF Elbasani,"CF, AMF",26.0,Albania.xlsx
M. Preka,Partizani Tirana,RCB,22.0,Albania.xlsx
Donat Mehmeti,Tirana,"CF, RW, AMF",19.0,Albania.xlsx
O. Falaye,Tirana,"CF, LW, LWF",27.0,Albania.xlsx
B. Charles,Vllaznia Shkodër,CF,24.0,Albania.xlsx
F. Álvarez,Tirana,"AMF, CF",31.0,Albania.xlsx
H. Ramírez,Deportivo Táchira,"CF, RW, LW",23.0,Albania.xlsx
D. Pjeshka,Flamurtari Vlorë,"RCB, LCMF, RB",30.0,Albania.xlsx
 Ayodele Folahan,Vora,CF,21.0,Albania.xlsx
K. Kasa,AF Elbasani,"LB, LAMF",22.0,Albania.xlsx
Ían Soler,Drenica Skënderaj,"LCMF, DMF, RCB",30.0,Albania.xlsx
M. Rašo,Flamurtari Vlorë,"RCB, LCB, CB",29.0,Albania.xlsx
Víctor Fernández,Niki Volos,"LW, LAMF",27.0,Albania.xlsx
J. Cortés,Tirana,LCB,26.0,Albania.xlsx
M. Beshiraj,Skënderbeu Korçë,CF,26.0,Albania.xlsx
Joao Urbáez,Flamurtari Vlorë,"RWB, RB",23.0,Albania.xlsx
J. Meksi,Dinamo City,"RB, RCB",31.0,Albania.xlsx
D. Contreras,Partizani Tirana,CF,22.0,Albania.xlsx
R. Negru,Bylis Ballsh,"RB, LB",27.0,Albania.xlsx
C. Dros,Vllaznia Shkodër,DMF,28.0,Albania.xlsx
Jacques Mbé,Flamurtari Vlorë,"DMF, LCMF, LDMF",27.0,Albania.xlsx
R. Abdullahi,Bylis Ballsh,"LW, CF, LAMF",21.0,Albania.xlsx
E. Meta,Tirana,"RCMF, DMF, LCB",20.0,Albania.xlsx
B. Gudjufi,Partizani Tirana,"RW, CF, RAMF",21.0,Albania.xlsx
M. Ruzgis,Vora,CF,29.0,Albania.xlsx
S. Bourard,Flamurtari Vlorë,"CF, LW, LCMF",30.0,Albania.xlsx
I. Boye,AF Elbasani,"AMF, CF",24.0,Albania.xlsx
K. Dodaj,Vllaznia Shkodër,"CF, LW",20.0,Albania.xlsx
G. Stoilov,Bylis Ballsh,"DMF, LCMF",30.0,Albania.xlsx
M. Abazaj,Pogradeci,"LCB, DMF",25.0,Albania.xlsx
M. Dembélé,Dinamo Samarqand,"RCB, LCB",27.0,Albania.xlsx
K. Daci,Teuta Durrës,CF,27.0,Albania.xlsx
Daniel Adjessa,Egnatia Rrogozhinë,CF,23.0,Albania.xlsx
C. Martínez,Partizani Tirana,RB,27.0,Albania.xlsx
Henri Sulovari,Bylis Ballsh,"RAMF, LCMF, AMF",23.0,Albania.xlsx
S. Gonzáles,Inter Toronto,CF,26.0,Albania.xlsx
K. Gassama,Gaziantep,"LCMF, LDMF",21.0,Albania.xlsx
Tsotne Patsatsia,Meshakhte,"CF, AMF, RW",26.0,Albania.xlsx
K. Qaka,Partizani Tirana,"RDMF, RCMF, LDMF",31.0,Albania.xlsx
R. Kobiljar,Tirana,"LAMF, AMF, LW",30.0,Albania.xlsx
Eliton Júnior,Tirana,"LCMF, AMF, CF",28.0,Albania.xlsx
H. Marku,Tirana,"CB, DMF, RCB",26.0,Albania.xlsx
J. Myszor,Górnik Łęczna,"RW, RAMF",23.0,Albania.xlsx
B. Telushi,Oriku,"CB, LCB, RCB",35.0,Albania.xlsx
Higor Vidal,Shijiazhuang Gongfu,"CF, RWF, AMF",29.0,Albania.xlsx
L. Tandilashvili,Egnatia Rrogozhinë,GK,23.0,Albania.xlsx
G. Kote,Partizani Tirana,"RCMF, LCMF, AMF",21.0,Albania.xlsx
Vinicius Cesar,Vora,"LDMF, RCB, LCMF",19.0,Albania.xlsx
A. Kouros,Vllaznia Shkodër,"LCB, LWB, LB",32.0,Albania.xlsx
F. Farruku,Dinamo City,CF,24.0,Albania.xlsx
D. Ibraimi,AF Elbasani,"RDMF, LCMF, AMF",22.0,Albania.xlsx
R. Wankewai,Teuta Durrës,CF,29.0,Albania.xlsx
E. Tafili,Vllaznia Shkodër,"RCMF, DMF, AMF",20.0,Albania.xlsx
Mustapha Koma,Dinamo City,CF,19.0,Albania.xlsx
Afonso Rodrigues,Egnatia Rrogozhinë,"RAMF, RW, AMF",23.0,Albania.xlsx
E. Ernest,Tirana,CF,25.0,Albania.xlsx
Jefferson,Egnatia Rrogozhinë,"LB, LWB",23.0,Albania.xlsx
Judah García,Ilioupoli,"CF, LAMF, AMF",25.0,Albania.xlsx
A. Doka,Teuta Durrës,RB,28.0,Albania.xlsx
A. Lleshi,AF Elbasani,"CF, LWF",26.0,Albania.xlsx
Léo Melo,Flamurtari Vlorë,"RCMF, AMF",25.0,Albania.xlsx
A. Mensah,Tirana,CF,26.0,Albania.xlsx
H. Lushaj,Flamurtari Vlorë,"RWF, RW, RAMF",18.0,Albania.xlsx
Gabriel Gomes,Imabari,LCB,26.0,Albania.xlsx
R. Ben Shimon,Hapoel Kfar Shalem,"CF, LAMF",25.0,Albania.xlsx
A. Sanogo,Bylis Ballsh,"RW, RWF, RAMF",21.0,Albania.xlsx
W. Baeten,Flamurtari Vlorë,"RW, RWF, CF",29.0,Albania.xlsx
I. Gurău,Bylis Ballsh,GK,27.0,Albania.xlsx
L. Shabani,Partizani Tirana,"LAMF, LW, LWF",26.0,Albania.xlsx
B. James,Dinamo City,"RAMF, CF",19.0,Albania.xlsx
Olávio,Bylis Ballsh,CF,32.0,Albania.xlsx
E. Tare,Tirana,CF,22.0,Albania.xlsx
A. Hoxha,Partizani Tirana,GK,38.0,Albania.xlsx
Wallace,,"AMF, CF, RDMF",24.0,Albania.xlsx
J. Sandeu,Bylis Ballsh,CF,24.0,Albania.xlsx
R. Kasa,Flamurtari Vlorë,"RWF, RAMF, RW",24.0,Albania.xlsx
E. Hakaj,Vllaznia Shkodër,"LWB, LB",29.0,Albania.xlsx
N. Qokthi,Partizani Tirana,"RW, RAMF, LAMF",19.0,Albania.xlsx
Vagner Gonçalves,Teuta Durrës,"RW, RAMF",30.0,Albania.xlsx
S. Emini,Bylis Ballsh,"CF, RB, AMF",23.0,Albania.xlsx
A. Jukaj,Vllaznia Shkodër,GK,20.0,Albania.xlsx
A. Gomes,Flamurtari Vlorë,"RWB, RB",,Albania.xlsx
F. Prengaj,Vora,"LW, LWF, LCMF",25.0,Albania.xlsx
José Rodríguez,,"LCMF, DMF",31.0,Albania.xlsx
G. Kubazi,Vllaznia Shkodër,"CF, RWB, RW",19.0,Albania.xlsx
R. Torraj,Vora,"LAMF, LW, RW",21.0,Albania.xlsx
M. Fofana,Teuta Durrës,"RW, RAMF",23.0,Albania.xlsx
A. Delaj,AF Elbasani,"LAMF, LW",22.0,Albania.xlsx
M. Shanaj,Pogradeci,"DMF, LCMF, RCMF",24.0,Albania.xlsx
W. Cordeiro,Tirana,CF,,Albania.xlsx
L. De melo,Egnatia Rrogozhinë,"AMF, RCMF",24.0,Albania.xlsx
T. Kiri,Dinamo City,GK,21.0,Albania.xlsx
H. Berisha,Dukagjini,CF,20.0,Albania.xlsx
B. Jatta,Partizani Tirana,"DMF, LCMF, RCMF",20.0,Albania.xlsx
T. Malaj,Partizani Tirana,"RWF, LCMF, RCMF",18.0,Albania.xlsx
G. Kuqi,Teuta Durrës,"LW, RWF, LAMF",17.0,Albania.xlsx
A. Keko,Partizani Tirana,CF,24.0,Albania.xlsx
P. Marku,KS Bylis Ballsh U19,"DMF, RDMF, LCMF",16.0,Albania.xlsx
L. Doukouo,Teuta Durrës,"CF, RCMF",23.0,Albania.xlsx
Victor,Drenica Skënderaj,"RCMF, RW",31.0,Albania.xlsx
S. Nongoh,AF Elbasani,"RAMF, RW, RWB",22.0,Albania.xlsx
R. Beqaj,Bylis Ballsh,GK,21.0,Albania.xlsx
X. Trifoni,Teuta Durrës,"RWF, CF, RAMF",22.0,Albania.xlsx
P. Pjeshka,Bylis Ballsh,"RW, LDMF, DMF",23.0,Albania.xlsx
A. Kaloshi,Flamurtari Vlorë,GK,26.0,Albania.xlsx
S. Huna,Teuta Durrës,"LCMF, RCMF, RDMF",17.0,Albania.xlsx
E. Mihana,Tirana,"LW, LB, RB",18.0,Albania.xlsx
G. Ferreira Buranelli,Bylis Ballsh,"LCMF, RCMF, RB",21.0,Albania.xlsx
I. Ademola Akibu,Bylis Ballsh,"CF, LWF",21.0,Albania.xlsx
R. Murić,Bylis Ballsh,"RW, RWF, RCMF",30.0,Albania.xlsx
F. Hasaj,Vora,"RDMF, LCMF, LW",24.0,Albania.xlsx
E. Karabeci,Tirana,RCMF,37.0,Albania.xlsx
R. Gega,AF Elbasani,GK,22.0,Albania.xlsx
O. Saheed Ayokunle,Bylis Ballsh,GK,20.0,Albania.xlsx
I. Gjuzi,Bylis Ballsh,RB,22.0,Albania.xlsx
Índio Oliveira,Pogradeci,"RW, CF, LWF",32.0,Albania.xlsx
A. Sarjo,Partizani Tirana,RCMF,19.0,Albania.xlsx
D. Zadeja,Partizani Tirana,GK,19.0,Albania.xlsx
R. Bakalli,Egnatia Rrogozhinë,"RCMF, DMF",18.0,Albania.xlsx
D. Afful,Egnatia Rrogozhinë,GK,20.0,Albania.xlsx
D. Duro,Egnatia Rrogozhinë,"LB, LWF",20.0,Albania.xlsx
O. Sefa,Vora,"DMF, RDMF, RCMF",24.0,Albania.xlsx
A. Ara,Vllaznia Shkodër,"RWB, LW, LWB",20.0,Albania.xlsx
A. Borici,AF Elbasani,"AMF, RDMF, LCMF",17.0,Albania.xlsx
S. Puzzo,Teuta Durrës,"AMF, LCMF",19.0,Albania.xlsx
S. Janku,Flamurtari Vlorë,"CB, RCB, RB",28.0,Albania.xlsx
A. Abah,Tirana,"RWF, RW",23.0,Albania.xlsx
E. Hodo,Bylis Ballsh,"LAMF, CF",21.0,Albania.xlsx
K. Ogunleye,Partizani Tirana,"RW, RCMF, RCB",19.0,Albania.xlsx
B. Baruti,Prishtina,CB,22.0,Albania.xlsx
H. Qaqi,Teuta Durrës,"CB, RCB",32.0,Albania.xlsx
H. Tola,Laçi,"DMF, LB, RCMF",21.0,Albania.xlsx
M. Bahaj,Bylis Ballsh,RB,19.0,Albania.xlsx
R. Marinaj,Vora,RCB,19.0,Albania.xlsx
A. Bunkhoev,Partizani Tirana,RCB,23.0,Albania.xlsx
M. Koita,,LCB,42.0,Albania.xlsx
M. Koita,Bylis Ballsh,LCB,19.0,Albania.xlsx
D. Metaj,Dinamo City,"LDMF, RWB, CF",19.0,Albania.xlsx
Ardit Manjani,Dinamo City,LCB,19.0,Albania.xlsx
K. Orji,AF Elbasani,RB,,Albania.xlsx
F. Ndrejaj,Partizani Tirana,"LCMF, RCMF",24.0,Albania.xlsx
A. Kolaj,Teuta Durrës,"AMF, RDMF",27.0,Albania.xlsx
M. Wellington,Flamurtari Vlorë,"RCMF, RB, RWB",19.0,Albania.xlsx
F. Cypi,Bylis Ballsh,"LCB, LB",19.0,Albania.xlsx
A. Ibrahim Adepoju,Bylis Ballsh,"RCMF, AMF",18.0,Albania.xlsx
A. Marku,Bylis Ballsh,LB,18.0,Albania.xlsx
M. Januzi,Egnatia Rrogozhinë,"RCMF, LCMF",22.0,Albania.xlsx
O. Ruci,Vora,RCMF,21.0,Albania.xlsx
C. Mariam Diane,Dinamo City,"LCMF, LAMF",22.0,Albania.xlsx
M. Cipi,Partizani Tirana,RCB,21.0,Albania.xlsx
H. Idrissou,Sreenidi Deccan,LCB,24.0,Albania.xlsx
D. Sulo,Partizani Tirana,LAMF,20.0,Albania.xlsx
P. Kampula,Bylis Ballsh,LB,,Albania.xlsx
A. Çyrbja,Kukësi,RAMF,32.0,Albania.xlsx
Z. Ouled-Haj-M'hand,Tirana,LWF,23.0,Albania.xlsx
Vitinho,Teuta Durrës,RB,20.0,Albania.xlsx
F. Jonuzi,Drenica Skënderaj,"RCMF, DMF",29.0,Albania.xlsx
R. Goga,Partizani Tirana,CF,22.0,Albania.xlsx
Maulud Riruwai,Bylis Ballsh,RB,19.0,Albania.xlsx
Tomás Castro,Bylis Ballsh,AMF,27.0,Albania.xlsx
F. Charwetey,Bylis Ballsh,CF,23.0,Albania.xlsx
M. Lloci,Lokeren-Temse,LAMF,26.0,Albania.xlsx
A. Nondi,Partizani Tirana,LCMF,27.0,Albania.xlsx
Gabriel,Bylis Ballsh,LCB,22.0,Albania.xlsx
G. Lopez,Santa Coloma,"CF, AMF",27.0,Andorra.xlsx
J. Marinovich,Atlètic Club d'Escaldes,GK,26.0,Andorra.xlsx
José Bejarano,CF Esperanca D'Andorra ,GK,24.0,Andorra.xlsx
Moises San Nicolás,Santa Coloma,RCB,32.0,Andorra.xlsx
Javi Díaz,Inter Club d'Escaldes,GK,28.0,Andorra.xlsx
Eric de Pablos,UE Santa Coloma,"RCB, RB",27.0,Andorra.xlsx
Joseba Muguruza,Inter Club d'Escaldes,RB,32.0,Andorra.xlsx
Javi García,Penya Encarnada,"RCMF, LCMF, LDMF",25.0,Andorra.xlsx
Jordi Betriu,Ordino,"LCMF, DMF, AMF",30.0,Andorra.xlsx
Rodrigo Piloto,Atlètic Club d'Escaldes,CF,24.0,Andorra.xlsx
Xisco Pires,Ordino,GK,28.0,Andorra.xlsx
Guilherme Quichini,UE Santa Coloma,"CB, RCB",32.0,Andorra.xlsx
David Andrade,Ranger's,"LCMF, LB, LDMF",32.0,Andorra.xlsx
A. Palomares,CF Esperanca D'Andorra ,"RB, LW, LAMF",22.0,Andorra.xlsx
L. Prieto,Ranger's,"RAMF, RW, LW",24.0,Andorra.xlsx
Miguel López,UE Santa Coloma,"CF, RDMF, LCMF",28.0,Andorra.xlsx
Juan David,Penya Encarnada,GK,21.0,Andorra.xlsx
Adrià Cosialls,Atlètic Club d'Escaldes,LB,25.0,Andorra.xlsx
Pol Freixanet,UE Santa Coloma,GK,34.0,Andorra.xlsx
Adrià Arjona,Santa Coloma,"RDMF, LCMF, LDMF",30.0,Andorra.xlsx
Á. Ruiz,Santa Coloma,GK,34.0,Andorra.xlsx
F. Molina Muela,UE Santa Coloma,"LCB, RCB",24.0,Andorra.xlsx
Adria Gallego,Atlètic Club d'Escaldes,RB,36.0,Andorra.xlsx
E. Nikiema,CF Esperanca D'Andorra ,"LDMF, LCMF, RDMF",19.0,Andorra.xlsx
Telmo Neves,CF Esperanca D'Andorra ,"RDMF, RCMF, AMF",24.0,Andorra.xlsx
B. Muñoz,Ranger's,"LDMF, RCMF, DMF",29.0,Andorra.xlsx
R. Escobar,Penya Encarnada,"RB, DMF, RCMF",28.0,Andorra.xlsx
Christian Garcia,UE Santa Coloma,"RCB, CB, LCB",27.0,Andorra.xlsx
Antonio Otegui,Inter Club d'Escaldes,"RCMF, AMF",28.0,Andorra.xlsx
Youssef El Ghazoui,UE Santa Coloma,"DMF, RCMF",25.0,Andorra.xlsx
A. Hernández,Inter Club d'Escaldes,"LCB, RCB",31.0,Andorra.xlsx
P. Francisco Manuel,UE Santa Coloma,CF,27.0,Andorra.xlsx
S. Villarreal,Ranger's,RB,26.0,Andorra.xlsx
 Francisco Triana,Carroi,GK,26.0,Andorra.xlsx
Faysal Chouaib,Inter Club d'Escaldes,"CF, RWF, LAMF",26.0,Andorra.xlsx
Guga Salgueiro,CF Esperanca D'Andorra ,LB,21.0,Andorra.xlsx
Christian Jiménez,Atlètic Club d'Escaldes,"RCB, RB",29.0,Andorra.xlsx
M. Basulto,Penya Encarnada,"RCB, LCMF, CB",34.0,Andorra.xlsx
