Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Six Score,Progressive passes per 90,"Accurate passes, %",Interceptions per 90,PAdj Interceptions,Successful defensive actions per 90,"Defensive duels won, %","Aerial duels won, %"
O. Wojtczak,Śląsk Wrocław II,Poland III,Reserve / B Team,21.0,Poland,right,1938,0,99.31,8.36,85.64,6.13,8.23,12.21,71.69,34.38
M. Bonde,AaB,Denmark II,Senior First Team,19.0,Denmark,unknown,740,0,99.29,6.57,88.52,6.93,9.83,13.38,72.06,42.42
A. Peltola,Ekenäs IF,Finland II,Senior First Team,21.0,Finland,unknown,666,0,98.65,7.43,87.65,4.86,6.24,11.35,69.84,57.14
A. Karlin,Olympic,Sweden III,Senior First Team,22.0,"Sweden, Slovenia",right,725,0,98.23,8.69,91.01,4.47,6.39,9.68,70.18,44.44
J. Haukvik Oya,Hønefoss,Norway III,Senior First Team,21.0,Norway,unknown,683,0,96.88,6.85,87.35,4.74,6.35,10.54,75.86,57.89
R. Ekou,FK Liepāja,Latvia,Senior First Team,21.0,Côte d'Ivoire,unknown,1278,0,96.75,6.34,81.98,6.2,9.26,13.31,67.14,59.41
H. Tómasson,KR,Iceland,Senior First Team,22.0,Iceland,right,600,0,95.13,12.45,90.72,5.4,9.56,8.4,51.35,53.33
T. Vatn,Lysekloster,Norway III,Senior First Team,23.0,Norway,unknown,583,0,94.68,5.87,85.5,6.17,7.55,11.58,67.31,58.82
I. Ahmed,Eskilstuna,Sweden III,Senior First Team,20.0,Sweden,right,400,0,94.2,6.08,89.57,5.4,5.95,11.93,66.67,62.5
J. Havig,Brattvåg,Norway III,Senior First Team,23.0,Norway,unknown,682,0,91.69,5.94,85.6,5.41,7.41,8.71,80.65,52.17
A. Asani,Trelleborg,Sweden III,Senior First Team,19.0,Sweden,right,864,0,91.24,9.06,78.84,5.0,7.31,11.46,61.54,43.75
J. Musbaudeen,Moss,Norway II,Senior First Team,21.0,Nigeria,right,517,0,90.71,6.62,73.02,7.83,9.57,13.4,65.96,58.06
M. Siltanen,Djurgården,Sweden,Senior First Team,19.0,Finland,right,885,0,90.58,10.07,90.31,3.56,5.38,7.32,73.33,61.54
R. Smirnov,Paide,Estonia,Senior First Team,21.0,Estonia,unknown,514,0,89.92,6.83,72.04,5.43,8.69,11.56,68.63,50.0
A. Doumbia,Häcken,Sweden,Senior First Team,18.0,Sweden,,714,0,89.84,7.18,84.21,6.93,9.02,10.71,60.0,27.27
M. Freundlich,Silkeborg,Denmark,Senior First Team,23.0,Denmark,right,1365,400000,89.68,9.49,89.94,3.96,4.18,8.84,66.67,50.0
M. Broniewski,Zagłębie Sosnowiec,Poland III,Senior First Team,20.0,Poland,,1632,0,88.7,6.51,83.29,4.41,6.45,11.47,67.08,55.1
M. Schmidt Hansen,Lyseng,Denmark IV,Senior First Team,19.0,Denmark,unknown,788,0,87.77,8.34,81.43,5.6,5.76,10.85,60.87,47.62
A. Nylund,Klubi-04,Finland II,Senior First Team,17.0,Finland,unknown,455,0,87.64,10.09,84.59,4.15,5.68,8.51,61.11,85.71
K. Lysiak,Stal Rzeszów,Poland II,Senior First Team,22.0,Poland,unknown,2827,0,87.54,8.28,85.92,4.65,6.17,8.18,67.28,40.0
Č. Rotar,Ilirija,Slovenia II,Senior First Team,22.0,Slovenia,right,2057,0,85.53,7.79,81.02,5.16,7.56,10.11,58.95,47.83
F. Godwin,Umeå,Sweden III,Senior First Team,22.0,Nigeria,unknown,530,0,85.18,6.28,79.36,5.6,8.84,11.72,65.38,42.86
J. Lesniewski,Łódzki KS II,Poland III,Reserve / B Team,19.0,Poland,right,1199,0,84.68,6.68,80.91,5.1,6.62,10.66,60.87,62.26
T. Štricelj,Ilirija,Slovenia II,Senior First Team,21.0,Slovenia,right,925,0,84.33,9.34,79.26,4.48,6.7,9.73,58.43,50.0
J. Stec,Puszcza Niepołomice,Poland II,Senior First Team,21.0,Poland,right,952,0,83.65,6.9,66.55,7.85,10.64,11.72,61.02,58.73
A. Garly,HIK,Denmark III,Senior First Team,23.0,Denmark,,2116,0,83.25,5.87,84.56,5.02,5.51,12.21,68.0,36.59
M. Villota,Pärnu JK Vaprus,Estonia,Senior First Team,20.0,Estonia,,565,0,82.54,7.49,76.87,6.85,8.32,13.06,58.21,11.11
H. Urnes,Hødd,Norway II,Senior First Team,23.0,Norway,unknown,660,0,81.29,5.86,82.56,8.73,11.23,13.23,52.08,71.43
A. Wikman,Silkeborg,Denmark,Senior First Team,22.0,Sweden,left,1014,350000,80.97,7.81,88.32,4.17,4.17,9.76,64.52,12.5
T. Egholm,Vanløse,Denmark IV,Senior First Team,23.0,Denmark,unknown,1372,0,79.94,6.3,79.17,5.44,6.21,10.23,72.34,41.27
W. Mukwelle,BFC Daugavpils,Latvia,Senior First Team,23.0,Cameroon,right,1161,150000,79.81,7.05,79.96,5.27,6.44,10.47,63.11,42.22
A. Gibiec,Rekord Bielsko-Biała,Poland III,Senior First Team,20.0,Poland,,741,0,79.49,5.59,82.02,6.07,7.77,12.02,61.11,58.33
B. Szczepankiewicz,Sokół Kleczew,Poland III,Senior First Team,19.0,Poland,,630,0,76.82,3.86,84.62,4.86,6.67,10.57,70.91,80.0
M. Larsson,Eskilsminne,Sweden III,Senior First Team,21.0,Sweden,,819,0,75.84,4.62,81.07,5.38,7.58,10.99,70.59,46.88
D. Cukici,KäPa,Finland II,Senior First Team,23.0,Finland,unknown,529,25000,75.73,7.15,84.18,4.59,5.36,9.02,60.53,50.0
J. Jezierski,Sigma Olomouc,Poland II,Senior First Team,21.0,Poland,,930,0,75.34,6.97,86.02,4.65,7.38,8.9,52.86,51.72
N. Solberg,Kvik Halden,Norway III,Senior First Team,23.0,Norway,unknown,576,0,74.54,6.25,70.93,5.16,5.96,9.38,69.44,83.33
J. Chodera,Śląsk Wrocław II,Poland III,Reserve / B Team,19.0,Poland,,1286,0,74.46,5.67,82.14,5.32,7.24,10.08,63.74,44.74
E. Torppa,Vasalund,Sweden III,Senior First Team,21.0,Sweden,,787,0,74.28,4.0,88.53,4.12,5.68,12.92,76.77,41.67
