Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Six Score,Progressive passes per 90,"Accurate passes, %",Interceptions per 90,PAdj Interceptions,Successful defensive actions per 90,"Defensive duels won, %","Aerial duels won, %"
D. Jambor,Chrudim,Czech II,Senior First Team,23.0,Czech Republic,right,2220,175000,96.08,7.5,84.0,5.11,6.81,12.57,66.94,49.33
O. Kričfaluši,Baník Ostrava,Czech,Senior First Team,22.0,Czech Republic,right,2478,0,94.47,11.26,78.21,4.76,7.08,9.73,65.55,56.0
K. Karban,Příbram,Czech II,Senior First Team,21.0,Czech Republic,unknown,558,0,78.43,6.45,73.84,5.97,7.99,11.94,63.16,47.37
M. Szolgai,Szentlőrinc SE,Hungary II,Senior First Team,22.0,Slovakia,right,2109,0,64.86,7.13,80.53,3.84,5.3,8.24,63.83,65.33
P. Švestka,Příbram,Czech II,Senior First Team,23.0,Czech Republic,,2249,125000,57.77,4.89,86.14,4.43,5.65,9.79,61.39,53.42
A. Pesek,Vysočina Jihlava,Czech II,Senior First Team,23.0,Czech Republic,,2102,0,56.89,6.98,85.33,3.55,5.21,8.01,66.43,33.33
S. Kop,Příbram,Czech II,Senior First Team,20.0,Czech Republic,unknown,939,0,56.4,4.94,77.87,5.15,5.9,9.24,69.64,48.15
D. Samek,Artis Brno,Czech II,Senior First Team,22.0,Czech Republic,right,1729,0,51.1,8.64,80.13,2.93,3.97,7.84,64.44,53.33
T. Rigo,Stoke City,England II,Senior First Team,23.0,"Slovakia, Czech Republic",right,1861,0,49.93,5.9,80.14,4.21,6.32,7.16,68.18,51.67
S. Mišík,Považská Bystrica,Slovakia II,Senior First Team,21.0,Slovakia,unknown,838,0,47.74,3.87,79.58,4.94,5.7,11.38,63.74,46.67
