Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Eight Score,Progressive passes per 90,Key passes per 90,Through passes per 90,Shots per 90,Goals per 90,xG per 90,Progressive runs per 90
V. Kotisek,Sparta Praha U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,1178,0,91.54,3.44,0.53,0.61,2.06,0.23,0.23,1.99
J. Abrhám,Viktoria Plzeň U19,Czech U19,Youth Academy,18.0,Czech Republic,,732,0,90.81,6.15,0.25,0.74,1.48,0.12,0.25,1.97
L. Ambros,Górnik Zabrze,Poland,Senior First Team,21.0,Czech Republic,left,1968,250000,89.69,4.85,0.46,0.59,1.97,0.05,0.15,1.83
R. Kastyl,Sigma Olomouc U19,Czech U19,Youth Academy,17.0,Czech Republic,,481,0,88.82,5.8,0.56,0.19,2.25,0.19,0.2,1.31
A. Tichánek,Vysočina Jihlava U19,Czech U19,Youth Academy,16.0,Czech Republic,unknown,882,0,88.19,5.82,0.31,1.02,2.14,0.1,0.17,1.33
J. Zima,Pardubice U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,788,0,87.45,7.54,0.11,0.46,1.6,0.46,0.27,1.71
A. Hink,Vysočina Jihlava U19,Czech U17,Youth Academy,17.0,Czech Republic,unknown,1208,0,87.28,6.78,0.07,0.45,1.94,0.6,0.33,1.79
J. Graclík,Baník Ostrava U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,979,0,87.13,8.09,0.28,0.46,1.29,0.09,0.1,1.84
A. Sojka,Viktoria Plzeň,Czech,Senior First Team,23.0,Czech Republic,left,2154,0,86.72,6.14,0.25,0.46,1.63,0.13,0.14,2.13
M. Pesek,České Budějovice U17,Czech U17,Youth Academy,16.0,Czech Republic,unknown,1448,0,86.67,5.41,0.5,0.5,1.55,0.12,0.12,1.8
J. Cahlík,Baník Ostrava U17,Czech U19,Youth Academy,17.0,Czech Republic,unknown,942,0,85.98,5.64,0.38,0.38,1.34,0.29,0.16,2.1
M. Mateáš,Slovan Bratislava,Slovakia II,Senior First Team,18.0,Slovakia,unknown,2392,0,85.74,6.36,0.34,0.34,1.81,0.08,0.12,2.14
J. Michlík,Pohronie,Slovakia II,Senior First Team,19.0,Slovakia,unknown,1523,0,85.69,4.08,0.47,0.59,1.65,0.24,0.15,3.01
L. Havrlík,Sparta Praha U17,Czech U17,Youth Academy,16.0,Czech Republic,unknown,424,0,85.23,7.85,0.42,0.21,2.12,0.0,0.23,4.03
R. Kaštyl,Sigma Olomouc U19,Czech U19,Youth Academy,17.0,Czech Republic,unknown,566,0,84.27,5.57,0.48,0.16,1.91,0.16,0.17,1.43
J. Nedbal,Dukla Praha U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,1152,0,80.69,3.98,0.47,0.31,1.88,0.31,0.36,1.64
D. Střihavka,Slovan Liberec U17,Czech U17,Youth Academy,15.0,Czech Republic,unknown,814,0,79.91,5.75,0.33,0.44,1.55,0.33,0.17,0.77
J. Kupera,Slavia Praha U17,Czech U17,Youth Academy,17.0,Czech Republic,,1318,0,79.64,7.92,0.14,0.68,1.02,0.07,0.12,1.09
M. Matyáš,Sigma Olomouc U17,Czech U17,Youth Academy,17.0,Czech Republic,,991,0,78.95,4.0,0.45,0.36,1.09,0.36,0.27,1.45
M. Kušnír,Inter Bratislava,Slovakia II,Senior First Team,22.0,Slovakia,unknown,2301,0,78.63,5.4,0.27,0.47,2.15,0.2,0.14,0.98
H. Hruska,Vlašim,Czech II,Senior First Team,22.0,Czech Republic,,1417,0,78.37,6.16,0.32,0.38,1.84,0.0,0.2,1.91
J. Base,FC Hradec Králové U17,Czech U17,Youth Academy,17.0,Czech Republic,unknown,1277,0,77.56,4.79,0.21,0.35,2.61,0.35,0.3,1.9
O. Frolík,Slavia Praha U19,Czech U19,Youth Academy,17.0,Czech Republic,unknown,1356,0,76.2,6.7,0.73,0.13,1.26,0.07,0.11,1.33
M. Jakub,Sigma Olomouc U17,Czech U17,Youth Academy,16.0,Czech Republic,,1578,0,75.74,6.5,0.34,0.74,0.74,0.11,0.09,0.91
A. Musák,Baník Ostrava II,Czech,Reserve / B Team,20.0,"Slovakia, Ukraine",both,826,0,73.73,4.47,0.33,0.44,1.74,0.0,0.12,1.96
C. Bolorbold,Sparta Praha U19,Czech U19,Youth Academy,17.0,"Mongolia, Czech Republic",,1513,0,71.08,5.83,0.54,0.3,1.01,0.06,0.07,1.25
Simon Vlna,Baník Ostrava,Slovakia II,Senior First Team,19.0,Slovakia,right,904,0,70.81,6.37,0.2,0.1,1.99,0.3,0.13,1.0
D. Holoubek,FS Jelgava,Latvia,Senior First Team,23.0,Czech Republic,right,1267,0,70.67,6.32,0.36,0.5,1.14,0.0,0.04,1.56
D. Šobáň,Pardubice U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,432,0,66.62,5.63,0.21,0.63,1.25,0.42,0.07,0.0
M. Korbel,Dukla Praha U17,Czech U17,Youth Academy,15.0,Czech Republic,unknown,1392,0,65.62,4.14,0.26,0.32,1.81,0.19,0.27,0.97
D. Holaň,Baník Ostrava II,Czech II,Reserve / B Team,23.0,Czech Republic,,2141,0,65.05,7.23,0.29,0.25,1.3,0.17,0.08,0.42
C. Ogbu Emmanuel,Baník Ostrava II,Czech II,Reserve / B Team,20.0,Czech Republic,unknown,673,0,64.34,3.88,0.13,0.27,2.81,0.4,0.48,2.27
A. Bužek,Slavia Praha,Czech,Senior First Team,21.0,Czech Republic,right,1269,0,62.93,5.25,0.35,0.35,1.13,0.07,0.07,1.21
J. Murgaš,Ružomberok,Slovakia,Senior First Team,22.0,Slovakia,right,616,0,62.39,5.55,0.29,0.44,0.73,0.15,0.12,0.73
L. Mikulaj,Trenčín,Slovakia,Senior First Team,21.0,Slovakia,,728,0,61.28,2.72,0.62,0.12,1.36,0.25,0.18,0.49
T. Meduna,Hradec Králové U19,Czech U19,Youth Academy,18.0,Czech Republic,,2284,0,58.68,3.39,0.35,0.2,1.26,0.16,0.16,1.06
B. Marek,Slovan Liberec U19,Czech U17,Youth Academy,17.0,Czech Republic,,957,0,58.22,4.33,0.56,0.0,1.13,0.09,0.13,1.6
K. Belžík,Slavia Praha II,Czech II,Reserve / B Team,18.0,Czech Republic,left,1350,0,58.19,6.27,0.2,0.4,0.6,0.07,0.09,1.8
V. Chyla,Podbrezová,Slovakia,Senior First Team,22.0,Slovakia,,1857,0,57.73,5.72,0.19,0.44,0.82,0.1,0.12,0.92
C. David,Baník Ostrava U17,Czech U17,Youth Academy,17.0,Czech Republic,unknown,621,0,57.26,6.81,0.14,0.14,1.59,0.14,0.13,0.87
Š. Šimon,Pardubice U17,Czech U17,Youth Academy,15.0,Czech Republic,,785,0,56.24,5.96,0.34,0.23,1.03,0.11,0.07,0.69
J. Tošnar,Sparta Praha II,Czech II,Reserve / B Team,20.0,Czech Republic,unknown,845,0,56.02,5.86,0.11,0.21,1.49,0.11,0.07,1.49
N. Vincent,České Budějovice U19,Czech U19,Youth Academy,19.0,Czech Republic,,1242,0,53.64,6.45,0.22,0.51,1.09,0.0,0.05,1.09
D. Planka,Baník Ostrava,Czech,Senior First Team,20.0,Czech Republic,right,2511,0,53.54,3.87,0.29,0.18,1.18,0.07,0.08,2.08
D. Krch,České Budějovice,Czech II,Senior First Team,22.0,Czech Republic,,1807,0,52.2,4.93,0.15,0.6,1.54,0.0,0.07,1.89
P. Krejza,České Budějovice U19,Czech U19,Youth Academy,19.0,Czech Republic,,1168,0,50.5,6.86,0.23,0.39,0.92,0.08,0.04,0.69
L. Forejt,Sparta Praha U17,Czech U17,Youth Academy,16.0,Czech Republic,unknown,1000,0,48.71,8.37,0.18,0.18,0.81,0.09,0.09,0.27
M. Kubrycht,Viktoria Plzeň U19,Czech U19,Youth Academy,19.0,Czech Republic,unknown,936,0,48.15,2.88,0.38,0.1,1.92,0.19,0.2,0.48
H. Sochurek,Sparta Praha U19,Czech,Youth Academy,17.0,Czech Republic,unknown,539,0,47.61,5.01,0.83,0.17,0.33,0.0,0.01,3.51
J. Kuneš,Slavia Praha U17,Czech U19,Youth Academy,17.0,Czech Republic,unknown,679,0,47.36,6.76,0.4,0.8,0.4,0.0,0.0,0.27
L. Moudrý,Sparta Praha II,Czech II,Reserve / B Team,19.0,Czech Republic,left,2440,0,46.19,4.06,0.18,0.41,1.03,0.07,0.12,1.51
S. Gresko,Pohronie,Slovakia II,Senior First Team,19.0,Slovakia,,1880,0,45.62,5.17,0.19,0.38,0.96,0.05,0.09,0.43
M. Bačík,Ružomberok,Slovakia,Senior First Team,18.0,Slovakia,right,1104,0,45.58,2.69,0.41,0.08,1.14,0.08,0.13,2.12
M. Bacik,Ružomberok U19,Slovakia,Youth Academy,19.0,Slovakia,unknown,1533,0,43.25,2.88,0.41,0.06,1.23,0.06,0.12,1.88
D. Ledvinka,Dukla Praha U19,Czech U19,Youth Academy,17.0,Czech Republic,unknown,528,0,42.96,4.09,0.17,0.34,1.88,0.0,0.12,2.05
M. Náprstek,Teplice,Czech,Senior First Team,22.0,Czech Republic,left,1292,275000,39.58,3.97,0.14,0.56,1.46,0.07,0.07,1.04
S. Klieštík,Mladá Boleslav U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,552,0,38.91,5.22,0.16,0.0,1.3,0.16,0.11,0.82
P. Sehnal,Slovácko U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,1177,0,34.75,5.12,0.23,0.15,0.76,0.08,0.06,1.15
Omar Ahmed Shami,Al Raed,Saudi II,Senior First Team,22.0,"Saudi Arabia, Czech Republic",unknown,1815,0,33.82,4.31,0.25,0.35,0.74,0.05,0.05,0.74
R. Horák,Slovácko,Czech II,Senior First Team,21.0,Czech Republic,,1140,0,29.28,7.34,0.08,0.24,0.16,0.0,0.0,1.58
T. Frýdl,Baník Ostrava II,Czech II,Reserve / B Team,19.0,Czech Republic,unknown,1457,0,29.21,5.56,0.25,0.25,1.05,0.0,0.07,0.31
S. Samaj,Žilina II,Slovakia II,Reserve / B Team,20.0,Slovakia,unknown,1785,0,28.96,6.45,0.1,0.35,0.61,0.0,0.02,1.26
A. Van Geet,Slovan Liberec U19,Czech U19,Youth Academy,16.0,Czech Republic,unknown,876,0,27.67,5.03,0.1,0.31,0.72,0.1,0.03,0.82
N. Kapuš,Púchov,Slovakia II,Senior First Team,20.0,Slovakia,right,1879,0,26.46,4.26,0.29,0.24,1.44,0.0,0.07,0.48
M. Šviderský,Slovácko,Czech,Senior First Team,23.0,Slovakia,left,1219,300000,25.19,5.32,0.3,0.3,0.44,0.0,0.04,0.74
S. Grygar,Ružomberok,Slovakia,Senior First Team,21.0,Czech Republic,right,2065,175000,23.2,6.19,0.31,0.22,0.48,0.0,0.05,0.22
S. Ivan,Pohronie,Slovakia II,Senior First Team,19.0,Slovakia,unknown,1305,0,21.74,4.76,0.21,0.62,0.48,0.0,0.02,0.14
M. Henyig,Malženice,Slovakia II,Senior First Team,20.0,Slovakia,right,1254,0,19.78,3.16,0.22,0.29,1.0,0.0,0.04,0.65
M. Lexa,Slovan Liberec,Czech,Senior First Team,21.0,Czech Republic,right,788,0,19.67,4.11,0.23,0.69,0.34,0.0,0.03,0.91
T. Hájovský,Trenčín,Slovakia,Senior First Team,20.0,Slovakia,right,2241,0,19.65,4.78,0.12,0.12,1.16,0.08,0.05,0.32
F. Juranka,Mladá Boleslav U19,Czech U19,Youth Academy,17.0,Czech Republic,unknown,718,0,19.53,3.38,0.0,0.88,1.38,0.0,0.1,0.5
P. Kulíšek,Hanácká,Czech II,Senior First Team,23.0,Czech Republic,right,1622,50000,19.31,5.55,0.06,0.33,0.78,0.0,0.07,0.55
M. Domik,Slávia TU Košice,Slovakia II,Senior First Team,23.0,Slovakia,,681,0,18.18,4.89,0.4,0.26,0.53,0.0,0.01,0.53
K. Strucka,Malženice,Slovakia II,Senior First Team,19.0,Slovakia,unknown,526,0,17.67,5.48,0.0,1.03,0.34,0.0,0.02,0.86
J. Feit,Sparta Praha II,Czech II,Reserve / B Team,20.0,Czech Republic,,1046,0,17.28,4.39,0.34,0.09,0.52,0.0,0.02,1.03
M. Kudela,Hanácká,Czech II,Senior First Team,23.0,Czech Republic,,443,0,15.75,4.47,0.0,0.0,1.02,0.0,0.09,1.83
A. Rajnoha,Slavia Praha U19,Czech II,Youth Academy,18.0,Slovakia,unknown,725,0,14.8,4.59,0.12,0.5,0.62,0.0,0.03,0.74
P. Streska,Sparta Praha U19,Czech U19,Youth Academy,18.0,Czech Republic,unknown,495,0,13.4,5.45,0.18,0.36,0.55,0.0,0.01,0.18
T. Barnas,Dukla Praha U19,Czech U19,Youth Academy,17.0,Slovakia,unknown,673,0,12.37,4.95,0.0,0.0,0.67,0.13,0.05,0.8
V. Martin,Dukla Praha U17,Czech U17,Youth Academy,17.0,Czech Republic,,688,0,8.19,6.28,0.13,0.0,0.39,0.0,0.04,0.52
P. Gaszczyk,Dukla Praha,Czech,Senior First Team,21.0,Czech Republic,right,642,0,6.27,5.33,0.14,0.0,0.42,0.0,0.04,0.42
M. Žitný,Dukla Praha,Czech,Senior First Team,21.0,Czech Republic,left,1009,0,1.76,4.55,0.18,0.09,0.09,0.0,0.0,0.45
D. Hájek,Vlašim,Czech II,Senior First Team,19.0,Czech Republic,right,852,0,1.15,3.27,0.11,0.0,0.42,0.0,0.02,0.32
A. Sivicek,Dukla Banská Bystrica U19,Slovakia II,Youth Academy,18.0,Slovakia,unknown,701,0,1.05,3.21,0.0,0.26,0.51,0.0,0.01,0.39
M. Veselák,Viktoria Plzeň U19,Czech U19,Youth Academy,19.0,Czech Republic,unknown,414,0,0.08,2.17,0.0,0.0,0.0,0.0,0.0,0.43
