Player,Team,League,Squad Type,Age,Passport country,Foot,Minutes played,Market value,Six Score,Progressive passes per 90,"Accurate passes, %",Interceptions per 90,PAdj Interceptions,Successful defensive actions per 90,"Defensive duels won, %","Aerial duels won, %"
M. Bonde,AaB,Denmark II,Senior First Team,19.0,Denmark,unknown,740,0,99.29,6.57,88.52,6.93,9.83,13.38,72.06,42.42
A. Peltola,Ekenäs IF,Finland II,Senior First Team,21.0,Finland,unknown,666,0,98.65,7.43,87.65,4.86,6.24,11.35,69.84,57.14
A. Karlin,Olympic,Sweden III,Senior First Team,22.0,"Sweden, Slovenia",right,725,0,98.23,8.69,91.01,4.47,6.39,9.68,70.18,44.44
J. Haukvik Oya,Hønefoss,Norway III,Senior First Team,21.0,Norway,unknown,683,0,96.88,6.85,87.35,4.74,6.35,10.54,75.86,57.89
R. Ekou,FK Liepāja,Latvia,Senior First Team,21.0,Côte d'Ivoire,unknown,1278,0,96.75,6.34,81.98,6.2,9.26,13.31,67.14,59.41
H. Tómasson,KR,Iceland,Senior First Team,22.0,Iceland,right,600,0,95.13,12.45,90.72,5.4,9.56,8.4,51.35,53.33
T. Vatn,Lysekloster,Norway III,Senior First Team,23.0,Norway,unknown,583,0,94.68,5.87,85.5,6.17,7.55,11.58,67.31,58.82
I. Ahmed,Eskilstuna,Sweden III,Senior First Team,20.0,Sweden,right,400,0,94.2,6.08,89.57,5.4,5.95,11.93,66.67,62.5
J. Havig,Brattvåg,Norway III,Senior First Team,23.0,Norway,unknown,682,0,91.69,5.94,85.6,5.41,7.41,8.71,80.65,52.17
A. Asani,Trelleborg,Sweden III,Senior First Team,19.0,Sweden,right,864,0,91.24,9.06,78.84,5.0,7.31,11.46,61.54,43.75
J. Musbaudeen,Moss,Norway II,Senior First Team,21.0,Nigeria,right,517,0,90.71,6.62,73.02,7.83,9.57,13.4,65.96,58.06
M. Siltanen,Djurgården,Sweden,Senior First Team,19.0,Finland,right,885,0,90.58,10.07,90.31,3.56,5.38,7.32,73.33,61.54
R. Smirnov,Paide,Estonia,Senior First Team,21.0,Estonia,unknown,514,0,89.92,6.83,72.04,5.43,8.69,11.56,68.63,50.0
A. Doumbia,Häcken,Sweden,Senior First Team,18.0,Sweden,,714,0,89.84,7.18,84.21,6.93,9.02,10.71,60.0,27.27
M. Freundlich,Silkeborg,Denmark,Senior First Team,23.0,Denmark,right,1365,400000,89.68,9.49,89.94,3.96,4.18,8.84,66.67,50.0
